

Has_Same_Name,Building_type,Building_type_pnnl,Building_type_doe,Keyword,Name,coeff_1,coeff_2,coeff_3,coeff_4,min_x,max_x,notes
YES,2,Hospital,,Curve:Cubic,Kitchen_Flr_5_Case:1_WALKINFREEZERSingleShelfHorizontal_LatentEnergyMult,0.0236,0.0006,0.0000,0.0000,-35.0,20.0,
YES,2,Hospital,,Curve:Cubic,Kitchen_Flr_5_Case:2_SELFCONTAINEDDISPLAYCASEMultiShelfVertical_LatentEnergyMult,0.026526281,0.001078032,0.0000602558,0.00000123732,-35.0,20.0,
,2,Hospital,,Curve:Cubic,Tower_Fan_Curve,0,0,0,1,0.0,1.0,
YES,3,HotelLarge,,Curve:Cubic,Kitchen_Flr_6_Case:1_WALKINFREEZERSingleShelfHorizontal_LatentEnergyMult,0.0236,0.0006,0.0000,0.0000,-35.0,20.0,
YES,3,HotelLarge,,Curve:Cubic,Kitchen_Flr_6_Case:2_SELFCONTAINEDDISPLAYCASEMultiShelfVertical_LatentEnergyMult,0.026526281,0.001078032,0.0000602558,0.00000123732,-35.0,20.0,
,4,HotelSmall,,Curve:Cubic,SAC Heating Coil PLF-FPLR,0.8,0.2,0,0,0,1,
,7,OfficeSmall,,Curve:Cubic,HPACHeatCapFT,0.758746,0.027626,0.000148716,0.0000034992,-20.0,20.0,
,7,OfficeSmall,,Curve:Cubic,HPACHeatCapFFF,0.84,0.16,0.0,0.0,0.5,1.5,
,7,OfficeSmall,,Curve:Cubic,HPACHeatEIRFT,1.19248,-0.0300438,0.00103745,-0.000023328,-20.0,20.0,
,8,OutPatientHealthCare,,Curve:Cubic,HeatSys1 Boiler Non-Condensing Boiler Curve,0.626428326,0.645643582,-0.77720685,0.313806701,0.1,1,
YES,9,RestaurantFastFood,,Curve:Cubic,Kitchen_Case:1_WALKINFREEZERSingleShelfHorizontal_LatentEnergyMult,0.0236,0.0006,0.0000,0.0000,-35.0,20.0,
YES,9,RestaurantFastFood,,Curve:Cubic,Kitchen_Case:2_SELFCONTAINEDDISPLAYCASEMultiShelfVertical_LatentEnergyMult,0.026526281,0.001078032,0.0000602558,0.00000123732,-35.0,20.0,
YES,13,SchoolPrimary,,Curve:Cubic,Kitchen_ZN_1_FLR_1_Case:1_WALKINFREEZERSingleShelfHorizontal_LatentEnergyMult,0.0236,0.0006,0.0000,0.0000,-35.0,20.0,
YES,13,SchoolPrimary,,Curve:Cubic,Kitchen_ZN_1_FLR_1_Case:2_SELFCONTAINEDDISPLAYCASEMultiShelfVertical_LatentEnergyMult,0.026526281,0.001078032,0.0000602558,0.00000123732,-35.0,20.0,
,15,Warehouse,,Curve:Cubic,PSZ-Office Heating Coil PLF-FPLR,0.8,0.2,0,0,0,1,
,15,Warehouse,,Curve:Cubic,PSZ-Fine Storage Heating Coil PLF-FPLR,0.8,0.2,0,0,0,1,
,25,,FullServiceRestaurant,Curve:Cubic,ConstantCubic,1,0,0,0,-100,100,
YES,25,,FullServiceRestaurant,Curve:Cubic,Kitchen_Case:1_WALKINFREEZERSingleShelfHorizontal_LatentEnergyMult,0.020376,0.00024378,0.0000114,0.0000001811,-35.0,20.0,
YES,25,,FullServiceRestaurant,Curve:Cubic,Kitchen_Case:2_SELFCONTAINEDDISPLAYCASEMultiShelfVertical_LatentEnergyMult,0.026526281,0.001078032,-0.0000602558,0.00000123732,-35.0,20.0,
YES,17,,Hospital,Curve:Cubic,Kitchen_Flr_5_Case:1_WALKINFREEZERSingleShelfHorizontal_LatentEnergyMult,0.020376,0.00024378,0.0000114,0.0000001811,-35.0,20.0,
YES,17,,Hospital,Curve:Cubic,Kitchen_Flr_5_Case:2_SELFCONTAINEDDISPLAYCASEMultiShelfVertical_LatentEnergyMult,0.026526281,0.001078032,-0.0000602558,0.00000123732,-35.0,20.0,
YES,18,,LargeHotel,Curve:Cubic,Kitchen_Flr_6_Case:1_WALKINFREEZERSingleShelfHorizontal_LatentEnergyMult,0.020376,0.00024378,0.0000114,0.0000001811,-35.0,20.0,
YES,18,,LargeHotel,Curve:Cubic,Kitchen_Flr_6_Case:2_SELFCONTAINEDDISPLAYCASEMultiShelfVertical_LatentEnergyMult,0.026526281,0.001078032,-0.0000602558,0.00000123732,-35.0,20.0,
YES,28,,PrimarySchool,Curve:Cubic,Kitchen_ZN_1_FLR_1_Case:1_WALKINFREEZERSingleShelfHorizontal_LatentEnergyMult,0.020376,0.00024378,0.0000114,0.0000001811,-35.0,20.0,
YES,28,,PrimarySchool,Curve:Cubic,Kitchen_ZN_1_FLR_1_Case:2_SELFCONTAINEDDISPLAYCASEMultiShelfVertical_LatentEnergyMult,0.026526281,0.001078032,-0.0000602558,0.00000123732,-35.0,20.0,
,31,,SuperMarket,Curve:Cubic,Bakery_Case:1_WALKINFREEZERSingleShelfHorizontal_LatentEnergyMult,0.020376,0.00024378,0.0000114,0.0000001811,-35.0,20.0,
,31,,SuperMarket,Curve:Cubic,Deli_Case:1_ MULTIDECKDIARYANDDELICASEMultiShelfVertical_LatentEnergyMult,0.026526281,0.001078032,-0.0000602558,0.00000123732,-35.0,20.0,
,31,,SuperMarket,Curve:Cubic,Deli_Case:2_WALKINFREEZERSingleShelfHorizontal_LatentEnergyMult,0.020376,0.00024378,0.0000114,0.0000001811,-35.0,20.0,
,31,,SuperMarket,Curve:Cubic,Produce_Case:1_ MULTIDECKDIARYANDDELICASEMultiShelfVertical_LatentEnergyMult,0.026526281,0.001078032,-0.0000602558,0.00000123732,-35.0,20.0,
,31,,SuperMarket,Curve:Cubic,Sales_Case:1_MEATDISPLAYCASE_SingleShelfHorizontal_LatentEnergyMult,0.020376,0.00024378,0.0000114,0.0000001811,-35.0,20.0,
,31,,SuperMarket,Curve:Cubic,Sales_Case:2_ MULTIDECKDIARYANDDELICASEMultiShelfVertical_LatentEnergyMult,0.026526281,0.001078032,-0.0000602558,0.00000123732,-35.0,20.0,
,31,,SuperMarket,Curve:Cubic,Sales_Case:3_GLASSDOORFROZENFOODSingleShelfHorizontal_LatentEnergyMult,0.020376,0.00024378,0.0000114,0.0000001811,-35.0,20.0,
,31,,SuperMarket,Curve:Cubic,Sales_Case:4_OPENWELLICECREAMDISPLAYCASESingleShelfHorizontal_LatentEnergyMult,0.020376,0.00024378,0.0000114,0.0000001811,-35.0,20.0,
,31,,SuperMarket,Curve:Cubic,Sales_Case:5_WALKINFREEZERSingleShelfHorizontal_LatentEnergyMult,0.020376,0.00024378,0.0000114,0.0000001811,-35.0,20.0,
,31,,SuperMarket,Curve:Cubic,Sales_Case:6_WALKINFREEZERSingleShelfHorizontal_LatentEnergyMult,0.020376,0.00024378,0.0000114,0.0000001811,-35.0,20.0,
,31,,SuperMarket,Curve:Cubic,Sales_Case:7_WALKINFREEZERSingleShelfHorizontal_LatentEnergyMult,0.020376,0.00024378,0.0000114,0.0000001811,-35.0,20.0,
