

Has_Same_Name,Building_type,Building_type_pnnl,Building_type_doe,Keyword,Name,coeff_1,coeff_2,coeff_3,coeff_4,coeff_5,coeff_6,coeff_7,coeff_8,coeff_9,coeff_10,min_x,max_x,min_y,max_y,notes
,2,Hospital,,Curve:Bicubic,WC_PD_150TO300_2004_EIRFPLR,-1.360532E-01,8.642703E-03,3.855583E-06,1.024034E+00,6.047444E-02,-8.947860E-03,0.000000E+00,5.706602E-02,0.000000E+00,0.000000E+00,31.13,36.52,0.19,1.03,
,2,Hospital,,Curve:Bicubic,WC_PD_GT300_2004_EIRFPLR,-1.360532E-01,8.642703E-03,3.855583E-06,1.024034E+00,6.047444E-02,-8.947860E-03,0.000000E+00,5.706602E-02,0.000000E+00,0.000000E+00,31.13,36.52,0.19,1.03,
,2,Hospital,,Curve:Bicubic,WC_PD_150TO300_2010_PA_EIRFPLR,-1.360532E-01,8.642703E-03,3.855583E-06,1.024034E+00,6.047444E-02,-8.947860E-03,0.000000E+00,5.706602E-02,0.000000E+00,0.000000E+00,31.13,36.52,0.19,1.03,
,5,OfficeLarge,,Curve:Bicubic,WC_Cent_GT300_2004_EIRFPLR,-1.360532E-01,8.642703E-03,3.855583E-06,1.024034E+00,6.047444E-02,-8.947860E-03,0.000000E+00,5.706602E-02,0.000000E+00,0.000000E+00,31.13,36.52,0.19,1.03,
,5,OfficeLarge,,Curve:Bicubic,WC_Cent_150TO300_2004_EIRFPLR,-1.360532E-01,8.642703E-03,3.855583E-06,1.024034E+00,6.047444E-02,-8.947860E-03,0.000000E+00,5.706602E-02,0.000000E+00,0.000000E+00,31.13,36.52,0.19,1.03,
,5,OfficeLarge,,Curve:Bicubic,WC_Cent_150TO300_2010_PB_EIRFPLR,-1.360532E-01,8.642703E-03,3.855583E-06,1.024034E+00,6.047444E-02,-8.947860E-03,0.000000E+00,5.706602E-02,0.000000E+00,0.000000E+00,31.13,36.52,0.19,1.03,
,5,OfficeLarge,,Curve:Bicubic,WC_Cent_300TO600_2010_PB_EIRFPLR,-1.360532E-01,8.642703E-03,3.855583E-06,1.024034E+00,6.047444E-02,-8.947860E-03,0.000000E+00,5.706602E-02,0.000000E+00,0.000000E+00,31.13,36.52,0.19,1.03,
,5,OfficeLarge,,Curve:Bicubic,WC_PD_150TO300_2010_PB_EIRFPLR,-1.360532E-01,8.642703E-03,3.855583E-06,1.024034E+00,6.047444E-02,-8.947860E-03,0.000000E+00,5.706602E-02,0.000000E+00,0.000000E+00,31.13,36.52,0.19,1.03,
,17,,Hospital,Curve:Bicubic,WC Centrifugal GTE 300tons Default 90.1-2004 EIR_fPLR,4.602131E-02,2.433945E-02,6.394526E-05,-3.648563E-01,1.854759E+00,-2.809346E-02,0.000000E+00,-4.821515E-01,0.000000E+00,0.000000E+00,14.56,34.97,0.18,1.03,
,20,,LargeOffice,Curve:Bicubic,WC Screw GTE 300tons Default 90.1-2004 EIR_fPLR,-2.737954E-01,2.822257E-02,-8.097657E-05,9.612284E-01,3.029741E-01,-2.421933E-02,0.000000E+00,-3.885224E-02,0.000000E+00,0.000000E+00,18.54,31.63,0.20,1.02,
,20,,LargeOffice,Curve:Bicubic,WC Screw 150-300tons Default 90.1-2004 EIR_fPLR,-2.737954E-01,2.822257E-02,-8.097657E-05,9.612284E-01,3.029741E-01,-2.421933E-02,0.000000E+00,-3.885224E-02,0.000000E+00,0.000000E+00,18.54,31.63,0.20,1.02,
