

Has_Same_Name,Building_type,Building_type_pnnl,Building_type_doe,Keyword,Name,coeff_1,coeff_2,coeff_3,coeff_4,coeff_5,coeff_6,min_x,max_x,min_y,max_y,notes
,1,ApartmentMidRise,,Curve:Biquadratic,Split DX Coil Cap-FT,0.766955E+00,0.107757E-01,-0.414720E-04,0.134964E-02,-0.261144E-03,0.457488E-03,12.77778,23.88889,23.88889,46.11111,
,1,ApartmentMidRise,,Curve:Biquadratic,Split DX Coil EIR-FT,0.7915314928,0,-.00054871,0.000949448,0.000165481745,0.0002782677,12.77778,23.88889,23.88889,46.11111,
,2,Hospital,,Curve:Biquadratic,WC_PD_2004_CAPFT,0.9061150,0.0292277,-0.0003647,-0.0009709,-0.0000905,0.0002527,5.0000,10.0000,17.78,46.11,
,2,Hospital,,Curve:Biquadratic,WC_PD_2004_EIRFT,0.3617105,-0.0229833,0.0009519,0.0131889,0.0003752,-0.0007059,5.0000,10.0000,17.78,46.11,
,2,Hospital,,Curve:Biquadratic,WC_PD_GT150_2010_PA_CAPFT,0.9061150,0.0292277,-0.0003647,-0.0009709,-0.0000905,0.0002527,5.0000,10.0000,17.78,46.11,
,2,Hospital,,Curve:Biquadratic,WC_PD_GT150_2010_PA_EIRFT,0.3773115,-0.0229032,0.0016504,0.0118156,0.0004345,-0.0010132,5.0000,10.0000,17.78,46.11,
,3,HotelLarge,,Curve:Biquadratic,AC_2004_CAPFT,1.0433811,0.0407077,0.0004506,-0.0041514,-0.0000886,-0.0003467,5.0000,10.0000,12.7,51.67,
,3,HotelLarge,,Curve:Biquadratic,AC_2004_EIRFT,0.5961915,-0.0099496,0.0007888,0.0004506,0.0004875,-0.0007623,5.0000,10.0000,12.7,51.67,
,3,HotelLarge,,Curve:Biquadratic,AC_2010_PA_CAPFT,1.0433825,0.0407073,0.0004506,-0.0041514,-0.0000886,-0.0003467,5.0000,10.0000,12.7,51.67,
,3,HotelLarge,,Curve:Biquadratic,AC_2010_PA_EIRFT,0.5961907,-0.0099493,0.0007888,0.0004506,0.0004875,-0.0007623,5.0000,10.0000,12.7,51.67,
,4,HotelSmall,,Curve:Biquadratic,PTAC Cooling Coil Cap-FT,0.942587793,0.009543347,0.00068377,-0.011042676,0.000005249,-0.00000972,12.77778,23.88889,23.88889,46.11111,
,4,HotelSmall,,Curve:Biquadratic,PTAC Cooling Coil EIR-FT,0.342414409,0.034885008,-0.0006237,0.004977216,0.000437951,-0.000728028,12.77778,23.88889,23.88889,46.11111,
,4,HotelSmall,,Curve:Biquadratic,SAC DX Cooling Coil Cap-FT,0.942587793,0.009543347,0.00068377,-0.011042676,0.000005249,-0.00000972,12.77778,23.88889,23.88889,46.11111,
,4,HotelSmall,,Curve:Biquadratic,SAC DX Cooling Coil EIR-FT,0.342414409,0.034885008,-0.0006237,0.004977216,0.000437951,-0.000728028,12.77778,23.88889,23.88889,46.11111,
,5,OfficeLarge,,Curve:Biquadratic,WC_Cent_GT150_2004_CAPFT,0.7600172,0.0147432,0.0002144,0.0207218,-0.0006425,0.0008007,5.0000,10.0000,17.78,46.11,
,5,OfficeLarge,,Curve:Biquadratic,WC_Cent_GT150_2004_EIRFT,0.6772577,0.0117857,-0.0001967,0.0014414,0.0003005,-0.0006807,5.0000,10.0000,17.78,46.11,
,5,OfficeLarge,,Curve:Biquadratic,WC_Cent_2010_PB_CAPFT,0.5362340,0.005581,-0.0013654,0.0488966,-0.0012018,0.0010523,5.0000,10.0000,17.78,46.11,
