

Has_Same_Name,Building_type,Building_type_pnnl,Building_type_doe,Keyword,Name,coeff_1,coeff_2,coeff_3,min_x,max_x,notes
,0,ApartmentHighRise,,Curve:Quadratic,Central Boiler Efficiency Curve,1.0,0.0,0.0,0,1,
,1,ApartmentMidRise,,Curve:Quadratic,Split DX Coil Cap-FF,0.8,0.2,0,0.5,1.5,
,1,ApartmentMidRise,,Curve:Quadratic,Split DX Coil EIR-FF,1.1552,-0.1808,0.0256,0.5,1.5,
,1,ApartmentMidRise,,Curve:Quadratic,Split DX Coil PLF,0.85,0.15,0,0,1,
,2,Hospital,,Curve:Quadratic,RACK1_RackCOPfTCurve,1.7603,-0.0377,0.0004,10.0000,35.0000,
,2,Hospital,,Curve:Quadratic,RACK1_RackCondFanCurve2,0.0000,0.0286,0.0000,0.0000,35.0000,
,2,Hospital,,Curve:Quadratic,RACK2_RackCOPfTCurve,1.0000,0.0000,0.0000,0.0000,50.0000,
,2,Hospital,,Curve:Quadratic,HeatSys1 Boiler Efficiency Curve,1.0,0.0,0.0,0,1,
,3,HotelLarge,,Curve:Quadratic,AC_GT150_2004_EIRFPLR,0.1410,0.6550,0.2030,0.0000,1.0000,
,3,HotelLarge,,Curve:Quadratic,AC_GT150_2010_PA_EIRFPLR,0.1410,0.6550,0.2030,0.0000,1.0000,
,4,HotelSmall,,Curve:Quadratic,PTAC Cooling Coil Cap-FF,0.8,0.2,0,0.5,1.5,
,4,HotelSmall,,Curve:Quadratic,PTAC Cooling Coil EIR-FF,1.1552,-0.1808,0.0256,0.5,1.5,
,4,HotelSmall,,Curve:Quadratic,PTAC Cooling Coil PLF-FPLR,0.85,0.15,0,0,1,
,4,HotelSmall,,Curve:Quadratic,SAC DX Cooling Coil Cap-FF,0.8,0.2,0,0.5,1.5,
,4,HotelSmall,,Curve:Quadratic,SAC DX Cooling Coil EIR-FF,1.1552,-0.1808,0.0256,0.5,1.5,
,4,HotelSmall,,Curve:Quadratic,SAC DX Cooling Coil PLF-FPLR,0.85,0.15,0,0,1,
,5,OfficeLarge,,Curve:Quadratic,Dummy Boiler Efficiency Curve,1.0,0.0,0.0,0,1,
,6,OfficeMedium,,Curve:Quadratic,FURNACE_PACU_VAV_CoolCCarrier48TM014_12tons_FFF,0.718954,0.435436,-0.154193,0.75,1.25,
,6,OfficeMedium,,Curve:Quadratic,FURNACE_PACU_VAV_CoolCCarrier48TM014_12tons_EIRFFF,1.19525,-0.306138,0.110973,0.75,1.25,
,6,OfficeMedium,,Curve:Quadratic,FURNACE_PACU_VAV_CoolCIEA_HVAC_BESTEST_9ton-PLR,0.771,0.229,0.0,0.0,1.0,
,7,OfficeSmall,,Curve:Quadratic,HPACCoolCapFFF,0.8,0.2,0.0,0.5,1.5,
,7,OfficeSmall,,Curve:Quadratic,HPACCOOLEIRFFF,1.156,-0.1816,0.0256,0.5,1.5,
,7,OfficeSmall,,Curve:Quadratic,HPACCOOLPLFFPLR,0.85,0.15,0.0,0.0,1.0,
,7,OfficeSmall,,Curve:Quadratic,HPACHeatEIRFFF,1.3824,-0.4336,0.0512,0.0,1.0,
,8,OutPatientHealthCare,,Curve:Quadratic,AHU-1_CoolCStandard10Ton_CapFF,0.77136,0.34053,-0.11088,0.75918,1.13877,
,8,OutPatientHealthCare,,Curve:Quadratic,AHU-1_CoolCStandard10Ton_EIRFFF,1.20550,-0.32953,0.12308,0.75918,1.13877,
,8,OutPatientHealthCare,,Curve:Quadratic,AHU-1_CoolCStandard10Ton_PLR,0.77100,0.22900,0.0,0.0,1.0,
,8,OutPatientHealthCare,,Curve:Quadratic,AHU-2_CoolCStandard10Ton_CapFF,0.77136,0.34053,-0.11088,0.75918,1.13877,
,8,OutPatientHealthCare,,Curve:Quadratic,AHU-2_CoolCStandard10Ton_EIRFFF,1.20550,-0.32953,0.12308,0.75918,1.13877,
,8,OutPatientHealthCare,,Curve:Quadratic,AHU-2_CoolCStandard10Ton_PLR,0.77100,0.22900,0.0,0.0,1.0,
,9,RestaurantFastFood,,Curve:Quadratic,PSZ-AC_1:1_CoolCLennoxStandard10Ton_TGA120S2B_CapFF,0.77136,0.34053,-0.11088,0.75918,1.13877,
,9,RestaurantFastFood,,Curve:Quadratic,PSZ-AC_1:1_CoolCLennoxStandard10Ton_TGA120S2B_EIRFFF,1.20550,-0.32953,0.12308,0.75918,1.13877,
,9,RestaurantFastFood,,Curve:Quadratic,PSZ-AC_1:1_CoolCLennoxStandard10Ton_TGA120S2B_PLR,0.77100,0.22900,0.0,0.0,1.0,
,9,RestaurantFastFood,,Curve:Quadratic,PSZ-AC_2:2_CoolCLennoxStandard10Ton_TGA120S2B_CapFF,0.77136,0.34053,-0.11088,0.75918,1.13877,
