attic,attic Thermal Zone,FullServiceRestaurant.osm,?,note: we include the attic zone as part of each of the food and dining zones
Dining,Dining Thermal Zone,FullServiceRestaurant.osm,Dining - other,Dining - family space
Kitchen,Kitchen Thermal Zone,FullServiceRestaurant.osm,Food preparation,Food preparation
,,FullServiceRestaurant.osm, ,
Basement,Basement Thermal Zone,Hospital.osm,?,Electrical/Mechanical
Corridor,Corridor_Flr_1 Thermal Zone,Hospital.osm,Corr. >= 2.4m wide,Corr. >= 2.4m wide
Corridor,Corridor_Flr_2 Thermal Zone,Hospital.osm,Corr. >= 2.4m wide,Corr. >= 2.4m wide
Corridor,Corridor_Flr_5 Thermal Zone,Hospital.osm,Corr. >= 2.4m wide,Corr. >= 2.4m wide
Corridor,Corridor_NW_Flr_3 Thermal Zone,Hospital.osm,Corr. >= 2.4m wide,Corr. >= 2.4m wide
Corridor,Corridor_NW_Flr_4 Thermal Zone,Hospital.osm,Corr. >= 2.4m wide,Corr. >= 2.4m wide
Corridor,Corridor_SE_Flr_3 Thermal Zone,Hospital.osm,Corr. >= 2.4m wide,Corr. >= 2.4m wide
Corridor,Corridor_SE_Flr_4 Thermal Zone,Hospital.osm,Corr. >= 2.4m wide,Corr. >= 2.4m wide
Dining,Dining_Flr_5 Thermal Zone,Hospital.osm,?,Dining - bar lounge/leisure
ER,ER_Exam1_Mult4_Flr_1 Thermal Zone,Hospital.osm,Hospital - emergency,Hospital - emergency
ER,ER_Exam3_Mult4_Flr_1 Thermal Zone,Hospital.osm,Hospital - emergency,Hospital - emergency
ER,ER_NurseStn_Lobby_Flr_1 Thermal Zone,Hospital.osm,Hospital - nurses' station,Hospital - nurses' station
ER,ER_Trauma1_Flr_1 Thermal Zone,Hospital.osm,Hospital - emergency,Hospital - emergency
ER,ER_Trauma2_Flr_1 Thermal Zone,Hospital.osm,Hospital - emergency,Hospital - emergency
ER,ER_Triage_Mult4_Flr_1 Thermal Zone,Hospital.osm,Hospital - emergency,Hospital - emergency
IC,IC_PatRoom1_Mult5_Flr_2 Thermal Zone,Hospital.osm,,Hospital - patient room
IC,IC_PatRoom2_Flr_2 Thermal Zone,Hospital.osm,,Hospital - patient room
IC,IC_PatRoom3_Mult6_Flr_2 Thermal Zone,Hospital.osm,,Hospital - patient room
ICU,ICU_Flr_2 Thermal Zone,Hospital.osm,,Hospital - recovery
ICU,ICU_NurseStn_Lobby_Flr_2 Thermal Zone,Hospital.osm,,Hospital - nurses' station
Kitchen,Kitchen_Flr_5 Thermal Zone,Hospital.osm,Food preparation,Food preparation
Lab,Lab_Flr_3 Thermal Zone,Hospital.osm,Lab - research,Lab - research
Lab,Lab_Flr_4 Thermal Zone,Hospital.osm,Lab - research,Lab - research
Lobby,Lobby_Records_Flr_1 Thermal Zone,Hospital.osm,Lobby - other,Office - enclosed
NurseStn,NurseStn_Lobby_Flr_3 Thermal Zone,Hospital.osm,Hospital - nurses' station,Hospital - nurses' station
NurseStn,NurseStn_Lobby_Flr_4 Thermal Zone,Hospital.osm,Hospital - nurses' station,Hospital - nurses' station
NurseStn,NurseStn_Lobby_Flr_5 Thermal Zone,Hospital.osm,Hospital - nurses' station,Hospital - nurses' station
Office1,Office1_Flr_5 Thermal Zone,Hospital.osm,Office - enclosed,Office - enclosed
Office1,Office1_Mult4_Flr_1 Thermal Zone,Hospital.osm,Office - enclosed,Office - enclosed
Office2,Office2_Mult5_Flr_5 Thermal Zone,Hospital.osm,Office - enclosed,Office - enclosed
Office3,Office3_Flr_5 Thermal Zone,Hospital.osm,Office - enclosed,Office - enclosed
Office4,Office4_Mult6_Flr_5 Thermal Zone,Hospital.osm,Office - enclosed,Office - enclosed
OR,OR_NurseStn_Lobby_Flr_2 Thermal Zone,Hospital.osm,Hospital - nurses' station,Hospital - nurses' station
OR1,OR1_Flr_2 Thermal Zone,Hospital.osm,?,Hospital - operating room
OR2,OR2_Mult5_Flr_2 Thermal Zone,Hospital.osm,?,Hospital - operating room
OR3,OR3_Flr_2 Thermal Zone,Hospital.osm,?,Hospital - operating room
OR4,OR4_Flr_2 Thermal Zone,Hospital.osm,?,Hospital - operating room
PatRoom1,PatRoom1_Mult10_Flr_3 Thermal Zone,Hospital.osm,Hospital - Hospital - patient room,Hospital - patient room
PatRoom1,PatRoom1_Mult10_Flr_4 Thermal Zone,Hospital.osm,Hospital - Hospital - patient room,Hospital - patient room
PatRoom2,PatRoom2_Flr_3 Thermal Zone,Hospital.osm,Hospital - Hospital - patient room,Hospital - patient room
PatRoom2,PatRoom2_Flr_4 Thermal Zone,Hospital.osm,Hospital - Hospital - patient room,Hospital - patient room
PatRoom3,PatRoom3_Mult10_Flr_3 Thermal Zone,Hospital.osm,Hospital - Hospital - patient room,Hospital - patient room
PatRoom3,PatRoom3_Mult10_Flr_4 Thermal Zone,Hospital.osm,Hospital - Hospital - patient room,Hospital - patient room
PatRoom4,PatRoom4_Flr_3 Thermal Zone,Hospital.osm,Hospital - Hospital - patient room,Hospital - patient room
PatRoom4,PatRoom4_Flr_4 Thermal Zone,Hospital.osm,Hospital - Hospital - patient room,Hospital - patient room
PatRoom5,PatRoom5_Mult10_Flr_3 Thermal Zone,Hospital.osm,Hospital - Hospital - patient room,Hospital - patient room
PatRoom5,PatRoom5_Mult10_Flr_4 Thermal Zone,Hospital.osm,Hospital - Hospital - patient room,Hospital - patient room
PatRoom6,PatRoom6_Flr_3 Thermal Zone,Hospital.osm,Hospital - Hospital - patient room,Hospital - patient room
PatRoom6,PatRoom6_Flr_4 Thermal Zone,Hospital.osm,Hospital - Hospital - patient room,Hospital - patient room
PatRoom7,PatRoom7_Mult10_Flr_3 Thermal Zone,Hospital.osm,Hospital - Hospital - patient room,Hospital - patient room
