Year,20 Year Payback ECM Package,Business as Usual,,,,,,
2015,424,424,,,,,,
2018,409,409,,,,,,
2020,388,388,,,,,,
2023,164.3321007,336,,,,,,
2025,159.647244,336,,,,,,
2030,159.647244,336,,,,,,
2033,159.647244,336,,,,,,
2035,159.647244,336,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Archetype,2015,2023,,,,,,
Barracks: pre 1960,133.4422857,72.23482904,,,,,,
Firehall: pre 1960,736.4334736,340.1063446,,,,,,
Food Services: pre 1960,784.941704,283.8909447,,,,,,
Food Services: 2005-2014,486.9522179,268.6647165,,,,,,
Hanger: pre 1960,543.9876842,214.0157282,,,,,,
Hanger: 1960-1979,529.6298143,215.6583486,,,,,,
Hanger: 1980-2004,361.538618,183.513803,,,,,,
Small Main. Shop: pre 1960,892.5013454,344.714838,,,,,,
Small Main. Shop: 1960-1979,834.6610777,326.2425287,,,,,,
Small Main. Shop: 1980-2004,478.010611,241.3441455,,,,,,
Large Main. Shop: pre 1960,653.2777748,199.7000659,,,,,,
Large Main. Shop: 1980-2004,393.2227771,144.958608,,,,,,
Small Office: 1960-1979,93.69860615,50.80858593,,,,,,
Small Office: 1980-2004,62.10834823,38.00999963,,,,,,
Small Office: post 2005,43.37194299,34.05734874,,,,,,
Large Office: pre 1960,599.950042,175.4437038,,,,,,
Large Office: 1960-1979,567.6904172,198.9692923,,,,,,
Large Office: 1980-2004,409.1321918,162.8947731,,,,,,
Recreation Centre: 1980-2004,475.1128118,375.7072417,,,,,,
Storage: pre 1960,452.0653396,225.5438071,,,,,,
Storage: 1960-1979,415.8615621,279.1860167,,,,,,
Storage: 1980-2004,267.3206197,214.4920173,,,,,,
Storage: post 2005,175.424901,197.6681555,,,,,,
Training Bldg: pre 1960,600.9330401,185.6714388,,,,,,
Training Bldg: 1980-2004,374.4270534,152.7432821,,,,,,
Training Bldg post 2005,275.4263608,135.7089917,,,,,,
Vehicle Garage: pre 1960,149.2886285,52.41499954,,,,,,
Vehicle Garage: 1980-2004,106.3683895,47.88751782,,,,,,
,,,,,,,,
Year,Business As Usual,12% Savings,15% Savings,20% Savings,30% Savings,,,
2015,437.6287231,437.6287231,437.6287231,437.6287231,437.6287231,,,
2018,438.6801197,391.6786783,381.4609737,365.5667664,337.4462459,,,
2020,424.1326479,378.6898642,368.8109981,353.4438732,326.255883,,,
2023,383.5933652,342.4940761,333.559448,319.6611377,295.0718194,,,
2025,372.6577056,332.7300943,324.0501788,310.548088,286.6597735,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,Cost Savings $/m2,GHG (tonnes),,,,,,
supply air temperature reset,0.338285748,666.72,,,,,,
boiler/rooftop efficiency upgrade,0.492444537,928.49,,,,,,
hot water loop temperature reset,2.106136999,4300.39,,,,,,
cooling DX upgrade to COP 3.5,0.811629542,1491.10,,,,,,
demand control ventilation (DCV),0.865339566,2009.94,,,,,,
cold deck reset,0.393106297,837.14,,,,,,
economizer control for free cooling,0.413038264,793.043691,,,,,,
additional RSI 2.68 roof insulation,0.432780619,926.9487274,,,,,,
additional RSI 1.32 exterior wall  insulation,0.223271218,491.1975217,,,,,,
upgrade windows to triple glazing,-0.006203753,42.81894237,,,,,,
exhaust fan operational controls,2.038601483,3622.742438,,,,,,
convert 1 hp+ fans to variable frequency drives (VFD),0.407212073,782.5058551,,,,,,
heat recovery ventilation,0.497747193,1430.109023,,,,,,
envelope air sealing to 0.27 air changes per hour (ACH),2.627910761,5436.315412,,,,,,
reduce lighting power by 30%,1.217359431,1794.850304,,,,,,
2 °C night temperature setback ,0.352146075,857.0050426,,,,,,
reduce plug loads by 10% (unoccupied hours),-0.065611338,-83.88754834,,,,,,
convert motors to high efficiency,0.606096367,1094.956513,,,,,,
convert 10 hp+ pumps to variable speed (VSP),4.4754895,8064.196793,,,,,,
air sealing+hot water loop+ setback+VSP,3.921845501,8170.468254,,,,,,
air sealing+setback+VSP,3.045003026,6292.341616,,,,,,
lighting+DCV+VSP+motor upgrades+VFD+exhaust fan control,2.759947614,4841.318816,,,,,,
retro-commissioning,0.937674791,1870.871534,,,,,,
solar hot water preheating,0.156469375,275.9112376,,,,,,
measures with less than 20 yr payback,6.582076398,12746.08618,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,2015,2018,2020,2023,2025,2030,2033,2035
Natural Gas Cost: BAU,5.791929854,6.146442296,6.394758565,6.786168947,7.060330173,7.795175008,8.27230208,8.606503084
Electricity Cost: BAU,9.051547345,10.18175975,11.01259135,12.38766755,13.39850123,16.30132541,18.3367741,19.83305487
Natural Gas Cost: ECMs,5.791929854,6.146442296,6.394758565,2.295278107,2.388007342,2.636553065,2.797931205,2.910967625
Electricity Cost: ECMs,9.051547345,10.18175975,11.01259135,6.859993201,7.419768647,9.027283059,10.15446573,10.98307013
Total: BAU,14.8434772,16.32820205,17.40734991,19.1738365,20.4588314,24.09650041,26.60907618,28.43955795
Total: ECM,14.8434772,16.32820205,17.40734991,14.68294566,15.78650857,18.93787847,21.13470531,22.74402249
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,2015,2018,2020,2023,2025,2030,2033,2035
Total: BAU,3435181.398,3787865.296,3904294.512,3889451.082,4031801.445,4748673.24,5243824.034,5604555.246
Total: ECM,3435181.398,3787865.296,3904294.512,2978464.893,3111031.457,3732068.772,4164995.24,4482141.769
