baseline_id,building_name ,vintage_name ,year,measure_id ,Percent of Total Base Area,GHG Savings tonnes,GHG Savings %,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Barracks,1959-pre,2015,air_temp_reset_enabled,0.086709848,-46.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Barracks,1959-pre,2015,baseline,0.086709848,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Barracks,1959-pre,2015,boiler_eff_upgrade,0.086709848,-2.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Barracks,1959-pre,2015,boiler_reset,0.086709848,144.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Barracks,1959-pre,2015,cooling_cop_3_0,0.086709848,2.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Barracks,1959-pre,2015,dcv_enabled,0.086709848,5.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Barracks,1959-pre,2015,ecm_cold_deck_reset_control,0.086709848,-19.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Barracks,1959-pre,2015,economizers_enabled,0.086709848,1.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Barracks,1959-pre,2015,elec_reduce,0.086709848,58.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Barracks,1959-pre,2015,envelope_ecm_roof,0.086709848,-0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Barracks,1959-pre,2015,envelope_ecm_wall,0.086709848,14.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Barracks,1959-pre,2015,envelope_ecm_windows,0.086709848,28.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Barracks,1959-pre,2015,fans_to_variable,0.086709848,-1.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Barracks,1959-pre,2015,hrv_enabled,0.086709848,-9.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Barracks,1959-pre,2015,infil_reduce,0.086709848,154.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Barracks,1959-pre,2015,infil_reduce_plus_setback,0.086709848,184.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Barracks,1959-pre,2015,lights_reduce_70p,0.086709848,37.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Barracks,1959-pre,2015,load_reduce,0.086709848,248.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Barracks,1959-pre,2015,occupancy_setback,0.086709848,1.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,
