baseline_index,building_type,vintage_name,measure_id,dcv_enabled,cost_per_building
1,Barracks,1959-pre,dcv_enabled,TRUE,64275
2,Fire Hall,1959-pre,dcv_enabled,TRUE,8668
3,Food Service,1959-pre,dcv_enabled,TRUE,7713
4,Food Service,2005-2014,dcv_enabled,TRUE,7713
5,Hangar,1959-pre,dcv_enabled,TRUE,65989
6,Hangar,1960-1979,dcv_enabled,TRUE,65989
7,Hangar,1980-2004,dcv_enabled,TRUE,65989
8,Maintenance Shop,1959-pre,dcv_enabled,TRUE,9427
9,Maintenance Shop,1980-2004,dcv_enabled,TRUE,9427
10,Maintenance Shop-Small,1959-pre,dcv_enabled,TRUE,7713
11,Maintenance Shop-Small,1960-1979,dcv_enabled,TRUE,7713
12,Maintenance Shop-Small,1980-2004,dcv_enabled,TRUE,7713
13,Office,1959-pre,dcv_enabled,TRUE,43707
14,Office,1960-1979,dcv_enabled,TRUE,43707
15,Office,1980-2004,dcv_enabled,TRUE,43707
16,Office-Small,1960-1979,dcv_enabled,TRUE,13712
17,Office-Small,1980-2004,dcv_enabled,TRUE,13712
18,Office-Small,2005-2014,dcv_enabled,TRUE,13712
19,Recreation Center,1980-2004,dcv_enabled,TRUE,27424
20,Storage Building,1959-pre,dcv_enabled,TRUE,857
21,Storage Building,1960-1979,dcv_enabled,TRUE,857
22,Storage Building,1980-2004,dcv_enabled,TRUE,857
23,Storage Building,2005-2014,dcv_enabled,TRUE,857
24,Training Building,1959-pre,dcv_enabled,TRUE,35137
25,Training Building,1980-2004,dcv_enabled,TRUE,35137
26,Training Building,2005-2014,dcv_enabled,TRUE,35137
27,Vehicle Garage,1959-pre,dcv_enabled,TRUE,8750
28,Vehicle Garage,1980-2004,dcv_enabled,TRUE,8750
NA,Barracks,1960-1979,dcv_enabled,TRUE,64275
NA,Barracks,1980-2004,dcv_enabled,TRUE,64275
30,Barracks,2005-2014,dcv_enabled,TRUE,64275
NA,Fire Hall,1960-1979,dcv_enabled,TRUE,8668
NA,Fire Hall,1980-2004,dcv_enabled,TRUE,8668
31,Fire Hall,2005-2014,dcv_enabled,TRUE,8668
NA,Food Service,1960-1979,dcv_enabled,TRUE,7713
NA,Food Service,1980-2004,dcv_enabled,TRUE,7713
29,Hangar,2005-2014,dcv_enabled,TRUE,65989
NA,Maintenance Shop,1960-1979,dcv_enabled,TRUE,9427
NA,Maintenance Shop,2005-2014,dcv_enabled,TRUE,9427
NA,Maintenance Shop-Small,2005-2014,dcv_enabled,TRUE,7713
NA,Office,2005-2014,dcv_enabled,TRUE,43707
NA,Office-Small,1959-pre,dcv_enabled,TRUE,13712
NA,Recreation Center,1959-pre,dcv_enabled,TRUE,27424
NA,Recreation Center,1960-1979,dcv_enabled,TRUE,27424
NA,Recreation Center,2005-2014,dcv_enabled,TRUE,27424
NA,Training Building,1960-1979,dcv_enabled,TRUE,35137
NA,Vehicle Garage,1960-1979,dcv_enabled,TRUE,8750
NA,Vehicle Garage,2005-2014,dcv_enabled,TRUE,8750
