baseline_id,Type,Arch,Vintage,scenario_year,Total Area (m2),Space DES Area (m2),Space Gas Area (m2),Space Elec Area (m2),Water DES Area  (m2),Water Gas Area  (m2),Water Elec Area  (m2),Total Area Percentage,Area Used to Apply ECMS (m2),Year, Total Area (m2),DES Area (m2),Gas/Propane Area (m2), Elec Area (m2),,,,,,,,
5,1A,Hangar,1959-pre,2015,62176,62176,0,0,0,0,0,0.268663553,21679,2015,231427,139442,90255,1730,,,,,,,,
6,1A,Hangar,1960-1979,2015,6231,0,6231,0,0,0,0,0.026924257,6231,2018,231983,139499,91267,1217,,,,,,,,
7,1A,Hangar,1980-2004,2015,7269,0,7269,0,0,0,0,0.031409473,7269,2020,224290,138091,84982,1217,,,,,,,,
24,2A,Training Building,1959-pre,2015,6832,3118,3714,0,0,0,0,0.029521188,6832,2023,202852,108609,93026,1217,,,,,,,,
25,2A,Training Building,1980-2004,2015,4831,4831,0,0,0,0,0,0.020874833,4831,2025,197069,102443,93409,1217,,,,,,,,
26,2A,Training Building,2005-2014,2015,1869,0,1869,0,0,0,0,0.008075981,1869,2028,197069,102443,93409,1217,,,,,,,,
20,3B,Storage Building,1959-pre,2015,330,249,81,0,0,0,0,0.001425936,330,2030,197069,102443,93409,1217,,,,,,,,
21,3B,Storage Building,1960-1979,2015,832,326,506,0,0,0,0,0.003595086,832,2033,197069,102443,93409,1217,,,,,,,,
22,3B,Storage Building,1980-2004,2015,10124,1376,8006,742,0,0,0,0.043745976,8824,2035,197069,102443,93409,1217,,,,,,,,
23,3B,Storage Building,2005-2014,2015,501,0,428,73,0,0,0,0.00216483,501,,,,,,,,,,,,,
1,4C,Barracks,1959-pre,2015,20067,20067,0,0,0,0,0,0.086709848,20067,,,,,,,,,,,,,
NA,5E,Recreation Center,1959-pre,2015,294,0,294,0,0,0,0,0.001270379,294,,,,,,,,,,,,,
NA,5E,Recreation Center,1960-1979,2015,101,0,101,0,0,0,0,0.000436423,101,,,,,,,,,,,,,
19,5E,Recreation Center,1980-2004,2015,15831,0,15831,0,0,0,0,0.06840602,15831,,,,,,,,,,,,,
13,6A,Office,1959-pre,2015,16513,10502,6011,0,0,0,0,0.071352954,11035,,,,,,,,,,,,,
14,6A,Office,1960-1979,2015,3480,0,3480,0,0,0,0,0.015037139,2220,,,,,,,,,,,,,
15,6A,Office,1980-2004,2015,17682,11024,6658,0,0,0,0,0.076404222,17682,,,,,,,,,,,,,
16,6B,Office-Small,1960-1979,2015,1148,0,1136,12,0,0,0,0.004960528,815,,,,,,,,,,,,,
17,6B,Office-Small,1980-2004,2015,4356,0,3453,903,0,0,0,0.01882235,3259,,,,,,,,,,,,,
18,6B,Office-Small,2005-2014,2015,501,0,501,0,0,0,0,0.00216483,501,,,,,,,,,,,,,
3,7A,Food Service,1959-pre,2015,10012,10012,0,0,0,0,0,0.043262022,0,,,,,,,,,,,,,
4,7A,Food Service,2005-2014,2015,0,0,0,0,0,0,0,0,4000,,,,,,,,,,,,,
27,8B,Vehicle Garage,1959-pre,2015,5221,3443,1778,0,0,0,0,0.02256003,1778,,,,,,,,,,,,,
28,8B,Vehicle Garage,1980-2004,2015,11811,0,11811,0,0,0,0,0.051035532,11711,,,,,,,,,,,,,
8,9A,Maintenance Shop,1959-pre,2015,3983,1504,2479,0,0,0,0,0.017210611,1504,,,,,,,,,,,,,
9,9A,Maintenance Shop,1980-2004,2015,10986,7670,3316,0,0,0,0,0.047470693,10986,,,,,,,,,,,,,
10,9B,Maintenance Shop-Small,1959-pre,2015,1564,805,759,0,0,0,0,0.006758071,1127,,,,,,,,,,,,,
11,9B,Maintenance Shop-Small,1960-1979,2015,724,0,724,0,0,0,0,0.003128416,724,,,,,,,,,,,,,
12,9B,Maintenance Shop-Small,1980-2004,2015,4869,1050,3819,0,0,0,0,0.021039032,4736,,,,,,,,,,,,,
2,13B,Fire Hall,1959-pre,2015,1289,1289,0,0,0,0,0,0.005569791,0,,,,,,,,,,,,,
5,1A,Hangar,1959-pre,2018,56669,56669,0,0,0,0,0,0.244280831,,,,,,,,,,,,,,
6,1A,Hangar,1960-1979,2018,6231,0,6231,0,0,0,0,0.026859727,,,,,,,,,,,,,,
7,1A,Hangar,1980-2004,2018,6551,0,6551,0,0,0,0,0.028239138,,,,,,,,,,,,,,
29,1A,Hangar,2005-2014,2018,6000,6000,0,0,0,0,,0.025863964,,,,,,,,,,,,,,
