baseline_id,building_name ,vintage_name ,year,measure_id ,Percent of Total Base Area,Electricity-Heating KWh/m2,Natural Gas-Heating KWh/m2,Electricity-Cooling KWh/m2,Electricity-Water Systems KWh/m2,Natural Gas-Water Systems KWh/m2,Electricity-Interior Lighting KWh/m2,Electricity-Interior Equipment KWh/m2,District Heating-Interior Equipment KWh/m2,Electricity-Fans KWh/m2,Electricity-Pumps KWh/m2,Electricity-Heat Recovery KWh/m2,baseline-Electricity-heating kWh,baseline-Natural Gas-heating kWh,baseline-Electricity-Cooling kWh,baseline-Electricity-Water Systems kWh,baseline-Natural Gas - Water Systems kWh,baseline-Electricty-Interior Lighting kWh,baseline-Electricity-Interior Equipment kWh,baseline-District Heating-Interior Equipment kWh,baseline-Electricity-Fans kWh,baseline-Electricity-Pumps kWh,baseline-Electricity-Heat Recovery kWh,baseline total energy kWh,Gas Energy Savings kWh,Electric Energy Savings kWh,Total Savings kWh,Gas Energy Savings $,Electric Energy Savings $,Total Savings $,Base Total ECM Cost $,Base Total ECM Payback ,Base baseline GHG tonnes
1,Barracks,1959-pre,2015,air_temp_reset_enabled,0.086709848,0,7.933210411,0.221437934,0,1.930177858,0.902834363,0.249336378,0,0.514578368,0.379698776,0,0,1751532,17691,0,446703,208940,57703,0,116157,79060,0,2677786,-84420,-45298,-129718,-1368,-5119,-6486,54343.76,-8.378235604,
1,Barracks,1959-pre,2015,baseline,0.086709848,0,7.568399289,0.076442372,0,1.930209669,0.902834363,0.249336378,0,0.5019175,0.34162074,0,0,1751532,17691,0,446703,208940,57703,0,116157,79060,0,2677786,0,0,0,0,0,0,0.00,0,
1,Barracks,1959-pre,2015,boiler_eff_upgrade,0.086709848,0,7.452415564,0.093429566,0,1.930209669,0.902834363,0.249336378,0,0.514578368,0.349382679,0,0,1751532,17691,0,446703,208940,57703,0,116157,79060,0,2677786,26842,-8658,18184,435,-978,-543,336607.28,-619.3534813,
1,Barracks,1959-pre,2015,boiler_reset,0.086709848,0,4.950749058,0.093429566,0,1.930209669,0.902834363,0.249336378,0,0.514578368,0.008875332,0,0,1751532,17691,0,446703,208940,57703,0,116157,79060,0,2677786,605795,70145,675940,9814,7926,17740,4787.11,0.269844746,
1,Barracks,1959-pre,2015,cooling_cop_3_0,0.086709848,0,7.452415564,0.066739949,0,1.930209669,0.902834363,0.249336378,0,0.514578368,0.349382679,0,0,1751532,17691,0,446703,208940,57703,0,116157,79060,0,2677786,26842,-2481,24361,435,-280,154,76348.42,494.2119465,
1,Barracks,1959-pre,2015,dcv_enabled,0.086709848,0,7.198084824,0.104754362,0,1.930209669,0.902834363,0.249336378,0,0.514578368,0.346201556,0,0,1751532,17691,0,446703,208940,57703,0,116157,79060,0,2677786,85701,-10542,75158,1388,-1191,197,321515.66,1631.505533,
1,Barracks,1959-pre,2015,ecm_cold_deck_reset_control,0.086709848,0,7.43386962,0.189340408,0,1.930146047,0.902834363,0.249336378,0,0.514578368,0.355522245,0,0,1751532,17691,0,446703,208940,57703,0,116157,79060,0,2677786,31149,-32275,-1126,505,-3647,-3142,54343.76,-17.293393,
1,Barracks,1959-pre,2015,economizers_enabled,0.086709848,0,7.451683906,0.072116046,0,1.930209669,0.902834363,0.249336378,0,0.514578368,0.348491964,0,0,1751532,17691,0,446703,208940,57703,0,116157,79060,0,2677786,27011,-3519,23492,438,-398,40,21234.29,531.7895049,
1,Barracks,1959-pre,2015,elec_reduce,0.086709848,0,7.546672222,0.078637347,0,1.930209669,0.631961786,0.249336378,0,0.503826174,0.271445179,0,0,1751532,17691,0,446703,208940,57703,0,116157,79060,0,2677786,5028,77978,83006,81,8812,8893,963141.40,108.3035937,
1,Barracks,1959-pre,2015,envelope_ecm_roof,0.086709848,0,7.41360587,0.093079643,0,1.930209669,0.902834363,0.249336378,0,0.51308324,0.347696684,0,0,1751532,17691,0,446703,208940,57703,0,116157,79060,0,2677786,35823,-7841,27983,580,-886,-306,1161908.36,-3801.579287,
1,Barracks,1959-pre,2015,envelope_ecm_wall,0.086709848,0,7.075134442,0.094352092,0,1.930209669,0.902834363,0.249336378,0,0.504844133,0.336308265,0,0,1751532,17691,0,446703,208940,57703,0,116157,79060,0,2677786,114155,-3593,110562,1849,-406,1443,2565337.45,1777.363075,
1,Barracks,1959-pre,2015,envelope_ecm_windows,0.086709848,0,6.743534237,0.102273087,0,1.930209669,0.902834363,0.249336378,0,0.49698676,0.325969617,0,0,1751532,17691,0,446703,208940,57703,0,116157,79060,0,2677786,190896,-1215,189681,3093,-137,2955,1891737.70,640.127401,
1,Barracks,1959-pre,2015,fans_to_variable,0.086709848,0,7.457441738,0.093079643,0,1.930209669,0.902834363,0.249336378,0,0.510538342,0.349446301,0,0,1751532,17691,0,446703,208940,57703,0,116157,79060,0,2677786,25679,-7656,18022,416,-865,-449,15606.85,-34.74469026,
1,Barracks,1959-pre,2015,hrv_enabled,0.086709848,0,6.887193727,0.105199719,0,1.930209669,0.902834363,0.249336378,0,0.514578368,0.345947066,0.150467092,0,1751532,17691,0,446703,208940,57703,0,116157,79060,0,2677786,157649,-45409,112241,2554,-5131,-2577,1357924.12,-526.8867339,
1,Barracks,1959-pre,2015,infil_reduce,0.086709848,0,3.546251685,0.15612949,0,1.930177858,0.902834363,0.249336378,0,0.463235051,0.22471449,0,0,1751532,17691,0,446703,208940,57703,0,116157,79060,0,2677786,930841,17566,948407,15080,1985,17065,610327.03,35.76579728,
