baseline_index,building_type,vintage_name,measure_id,lighting_scaling_factor,lighting_fraction_radiant,lighting_fraction_visible,lighting_return_air_fraction,elec_equipment_load_scaling_factor,elec_equipment_fraction_radiant,elec_equipment_fraction_latent,elec_equipment_fraction_lost,exhaust_fans_occ_control_enabled,dcv_enabled,fan_motor_eff,pump_motor_eff,boiler_reset,hw_boiler_flow_mode,hw_boiler_curve,hw_boiler_reset_enabled,hw_boiler_reset_highsupplytemp,hw_boiler_reset_outsidehighsupplytemp,hw_boiler_reset_lowsupplytemp,hw_boiler_reset_outsidelowsupplytemp,occ_stbck_enabled,occ_stbck_tolerance,occ_stbck_heat_setback,occ_stbck_heat_setpoint,occ_stbck_cool_setback,occ_stbck_cool_setpoint,infiltration_flow_per_exterior_area,cold_deck_reset_enabled,cold_deck_reset_max_supply_air_temp,cold_deck_reset_min_supply_air_temp,pump_speed_type,pump_control_type,pump_motor_eff,cost_per_building,cost_per_building_dcv,cost_per_building_exhaustfans,cost_per_building_plugreduce,cost_per_building_lightreduce,cost_per_building_fansandpumps,cost_per_boiler_reset,cost_per_occ_temp_setback,infil_cost_per_building,cost_per_cold_deck_reset,cost_per_building_recommissioning
1,Barracks,1959-pre,payback_less_than_20,0.7,NA,NA,NA,0.9,0.3,NA,NA,NA,TRUE,0.92,0.92,TRUE,LeavingSetpointModulated,atmospheric,TRUE,82,-25,40,20,TRUE,0.05,17,22,99,24,0.0002,TRUE,20,13,NA,NA,NA,397597,64275,4523,21281,92265,10200,957,36806,122012,10864,34414
2,Fire Hall,1959-pre,payback_less_than_20,0.7,NA,NA,NA,0.9,0.3,NA,NA,NA,TRUE,0.92,0.92,TRUE,LeavingSetpointModulated,atmospheric,TRUE,82,-25,40,20,TRUE,0.05,17,22,99,24,0.0003,TRUE,20,13,NA,NA,NA,124528,8668,2261,2750,15765,6120,957,5066,67418,3621,11902
3,Food Service,1959-pre,payback_less_than_20,0.7,NA,NA,NA,0.9,0.3,NA,NA,TRUE,TRUE,0.92,0.92,TRUE,LeavingSetpointModulated,atmospheric,TRUE,82,-25,40,20,TRUE,0.05,17,22,99,24,0.0002,TRUE,20,13,NA,NA,NA,259055,7713,6784,2554,111667,10636,957,4417,83796,14485,16046
4,Food Service,2005-2014,payback_less_than_20,0.7,NA,NA,NA,0.9,0.3,NA,NA,TRUE,TRUE,0.92,0.92,TRUE,LeavingSetpointModulated,atmospheric,TRUE,82,-25,40,20,TRUE,0.05,17,22,99,24,0.0002,TRUE,20,13,NA,NA,NA,175259,7713,6784,2554,111667,10636,957,4417,0,14485,16046
5,Hangar,1959-pre,payback_less_than_20,0.7,NA,NA,NA,0.9,0.3,NA,NA,TRUE,TRUE,0.92,0.92,TRUE,LeavingSetpointModulated,atmospheric,TRUE,82,-25,40,20,TRUE,0.05,17,22,99,24,0.0003,TRUE,20,13,NA,NA,NA,408060,65989,3769,21849,133713,6855,957,37788,96777,7243,33120
6,Hangar,1960-1979,payback_less_than_20,0.7,NA,NA,NA,0.9,0.3,NA,NA,TRUE,TRUE,0.92,0.92,TRUE,LeavingSetpointModulated,atmospheric,TRUE,82,-25,40,20,TRUE,0.05,17,22,99,24,0.0003,TRUE,20,13,NA,NA,NA,408060,65989,3769,21849,133713,6855,957,37788,96777,7243,33120
7,Hangar,1980-2004,payback_less_than_20,0.7,NA,NA,NA,0.9,0.3,NA,NA,TRUE,TRUE,0.92,0.92,TRUE,LeavingSetpointModulated,atmospheric,TRUE,82,-25,40,20,TRUE,0.05,17,22,99,24,0.0003,TRUE,20,13,NA,NA,NA,400107,65989,3769,21849,133713,6855,957,37788,88824,7243,33120
8,Maintenance Shop,1959-pre,payback_less_than_20,0.7,NA,NA,NA,0.9,0.3,NA,NA,TRUE,TRUE,0.92,0.92,TRUE,LeavingSetpointModulated,atmospheric,TRUE,82,-25,40,20,TRUE,0.05,17,22,99,24,0.0003,TRUE,20,13,NA,NA,NA,160260,9427,2261,3121,45581,5266,957,5398,74019,3621,10609
9,Maintenance Shop,1980-2004,payback_less_than_20,0.7,NA,NA,NA,0.9,0.3,NA,NA,TRUE,TRUE,0.92,0.92,TRUE,LeavingSetpointModulated,atmospheric,TRUE,82,-25,40,20,TRUE,0.05,17,22,99,24,0.0003,TRUE,20,13,NA,NA,NA,153381,9427,2261,3121,45581,5266,957,5398,67140,3621,10609
10,Maintenance Shop-Small,1959-pre,payback_less_than_20,0.7,NA,NA,NA,0.9,0.3,NA,NA,TRUE,TRUE,0.92,0.92,TRUE,LeavingSetpointModulated,atmospheric,TRUE,82,-25,40,20,TRUE,0.05,17,22,99,24,0.0003,TRUE,20,13,NA,NA,NA,102017,7713,754,2554,24169,4516,957,4417,47106,3621,6210
