baseline_id,building_name ,vintage_name ,measure_id ,actual_floor_area,Total Floor Area M2,Electricity-Heating KWh/m2,Natural Gas-Heating KWh/m2,Electricity-Cooling KWh/m2,Electricity-Water Systems KWh/m2,Natural Gas-Water Systems KWh/m2,Electricity-Interior Lighting KWh/m2,Electricity-Interior Equipment KWh/m2,District Heating-Interior Equipment KWh/m2,Electricity-Fans KWh/m2,Electricity-Pumps KWh/m2,Electricity-Heat Recovery KWh/m2,baseline-Electricity-Heating KWh/m2,baseline-Natural Gas-Heating KWh/m2,baseline-Electricity-Cooling KWh/m2,baseline-Electricity-Water Systems KWh/m2,baseline-Natural Gas-Water Systems KWh/m2,baseline-Electricity-Interior Lighting KWh/m2,baseline-Electricity-Interior Equipment KWh/m2,baseline-District Heating-Interior Equipment KWh/m2,baseline-Electricity-Fans KWh/m2,baseline-Electricity-Pumps KWh/m2,baseline-Electricity-Heat Recovery KWh/m2,Baseline Total Energy kWh/m2,Gas Energy Savings KWh/m2,Elec Energy Savings KWh/m2,Total Energy Savings %,Baseline Total Cost $/m2,Gas Cost Savings $/m2,Elec Cost Savings $/m2,Total Cost Savings %,Vintage Score,Vintage Rank,Payback Period,GHG Baseline g/m2,GHG Savings g/m2,GHG Savings %
1,Barracks,1959-pre,air_temp_reset_enabled,3989,5495.724592,0,91.49145791,2.55378067,0,22.26019191,10.41213176,2.875525483,0,5.934485866,4.378957919,0,0,87.28419506,0.881588127,0,22.26055878,10.41213176,2.875525483,0,5.788471686,3.93981477,0,133.4422857,-4.206895983,-2.257349872,-4.844225969,4.475046108,-0.068151715,-0.255080536,-7.222992627,-0.32323225,1,100.00,40399.36363,-2716.92877,-6.725177146
1,Barracks,1959-pre,baseline,3989,5495.724592,0,87.28419506,0.881588127,0,22.26055878,10.41213176,2.875525483,0,5.788471686,3.93981477,0,0,87.28419506,0.881588127,0,22.26055878,10.41213176,2.875525483,0,5.788471686,3.93981477,0,133.4422857,0,0,0,4.475046108,0,0,0,0,8,NA,40399.36363,0,0
1,Barracks,1959-pre,boiler_eff_upgrade,3989,5495.724592,0,85.94658777,1.077496599,0,22.26055878,10.41213176,2.875525483,0,5.934485866,4.029331,0,0,87.28419506,0.881588127,0,22.26055878,10.41213176,2.875525483,0,5.788471686,3.93981477,0,133.4422857,1.337607287,-0.431438883,0.679071404,4.475046108,0.021669238,-0.048752594,-0.605208419,-0.027083356,5,100.00,40399.36363,-135.9201243,-0.336441251
1,Barracks,1959-pre,boiler_reset,3989,5495.724592,0,57.09557992,1.077496599,0,22.26055878,10.41213176,2.875525483,0,5.934485866,0.102356674,0,0,87.28419506,0.881588127,0,22.26055878,10.41213176,2.875525483,0,5.788471686,3.93981477,0,133.4422857,30.18861514,3.495535443,25.24248623,4.475046108,0.489055565,0.394995505,19.75512763,0.88405107,19,0.26,40399.36363,8444.877945,20.9034925
1,Barracks,1959-pre,cooling_cop_3_0,3989,5495.724592,0,85.94658777,0.769692838,0,22.26055878,10.41213176,2.875525483,0,5.934485866,4.029331,0,0,87.28419506,0.881588127,0,22.26055878,10.41213176,2.875525483,0,5.788471686,3.93981477,0,133.4422857,1.337607287,-0.123635122,0.90973574,4.475046108,0.021669238,-0.013970769,0.172031059,0.007698469,10,482.54,40399.36363,131.869148,0.326413924
1,Barracks,1959-pre,dcv_enabled,3989,5495.724592,0,83.01346373,1.208102248,0,22.26055878,10.41213176,2.875525483,0,5.934485866,3.992644021,0,0,87.28419506,0.881588127,0,22.26055878,10.41213176,2.875525483,0,5.788471686,3.93981477,0,133.4422857,4.270731328,-0.525357552,2.806736828,4.475046108,0.069185848,-0.059365403,0.219449005,0.009820444,11,1592.98,40399.36363,307.3998376,0.760902673
1,Barracks,1959-pre,ecm_cold_deck_reset_control,3989,5495.724592,0,85.73270268,2.183609043,0,22.25982504,10.41213176,2.875525483,0,5.934485866,4.100136872,0,0,87.28419506,0.881588127,0,22.26055878,10.41213176,2.875525483,0,5.788471686,3.93981477,0,133.4422857,1.552226119,-1.608357198,-0.042063937,4.475046108,0.025146063,-0.181744363,-3.499367302,-0.1565983,2,100.00,40399.36363,-1121.422287,-2.775841465
1,Barracks,1959-pre,economizers_enabled,3989,5495.724592,0,85.93814976,0.831693834,0,22.26055878,10.41213176,2.875525483,0,5.934485866,4.019058646,0,0,87.28419506,0.881588127,0,22.26055878,10.41213176,2.875525483,0,5.788471686,3.93981477,0,133.4422857,1.346045292,-0.175363764,0.877294272,4.475046108,0.021805934,-0.019816105,0.044464981,0.001989828,9,519.23,40399.36363,88.37563271,0.218755012
1,Barracks,1959-pre,elec_reduce,3989,5495.724592,0,87.03362298,0.906902143,0,22.26055878,7.288235423,2.875525483,0,5.810483874,3.130499993,0,0,87.28419506,0.881588127,0,22.26055878,10.41213176,2.875525483,0,5.788471686,3.93981477,0,133.4422857,0.250572073,3.885884909,3.09980975,4.475046108,0.004059268,0.439104995,9.90300997,0.443164262,17,105.75,40399.36363,3425.572272,8.479272851
1,Barracks,1959-pre,envelope_ecm_roof,3989,5495.724592,0,85.49900662,1.073461031,0,22.26055878,10.41213176,2.875525483,0,5.917242985,4.009886901,0,0,87.28419506,0.881588127,0,22.26055878,10.41213176,2.875525483,0,5.788471686,3.93981477,0,133.4422857,1.785188441,-0.390716336,1.045000165,4.475046108,0.028920053,-0.044150946,-0.340351648,-0.015230893,7,100.00,40399.36363,-20.37448115,-0.050432678
1,Barracks,1959-pre,envelope_ecm_wall,3989,5495.724592,0,81.59551196,1.088135823,0,22.26055878,10.41213176,2.875525483,0,5.822223707,3.878547513,0,0,87.28419506,0.881588127,0,22.26055878,10.41213176,2.875525483,0,5.788471686,3.93981477,0,133.4422857,5.688683101,-0.179032462,4.128864109,4.475046108,0.092156666,-0.020230668,1.607268312,0.071925998,13,1735.39,40399.36363,862.5160332,2.134974306
1,Barracks,1959-pre,envelope_ecm_windows,3989,5495.724592,0,77.77126117,1.179486403,0,22.26055878,10.41213176,2.875525483,0,5.731606867,3.759314829,0,0,87.28419506,0.881588127,0,22.26055878,10.41213176,2.875525483,0,5.788471686,3.93981477,0,133.4422857,9.512933883,-0.060533517,7.083512036,4.475046108,0.154109529,-0.006840287,3.290898863,0.147269242,15,625.01,40399.36363,1650.151006,4.084596532
1,Barracks,1959-pre,fans_to_variable,3989,5495.724592,0,86.0045532,1.073461031,0,22.26055878,10.41213176,2.875525483,0,5.887893401,4.03006474,0,0,87.28419506,0.881588127,0,22.26055878,10.41213176,2.875525483,0,5.788471686,3.93981477,0,133.4422857,1.279641858,-0.381544591,0.673022995,4.475046108,0.020730198,-0.043114539,-0.500203576,-0.022384341,6,100.00,40399.36363,-102.8879013,-0.254677035
1,Barracks,1959-pre,hrv_enabled,3989,5495.724592,0,79.42804518,1.213238425,0,22.26055878,10.41213176,2.875525483,0,5.934485866,3.989709062,1.735294148,0,87.28419506,0.881588127,0,22.26055878,10.41213176,2.875525483,0,5.788471686,3.93981477,0,133.4422857,7.856149872,-2.262852919,4.191547623,4.475046108,0.127269628,-0.25570238,-2.869976059,-0.128432752,3,100.00,40399.36363,-562.4312126,-1.392178396
1,Barracks,1959-pre,infil_reduce,3989,5495.724592,0,40.89791143,1.800596973,0,22.26019191,10.41213176,2.875525483,0,5.34235801,2.591568259,0,0,87.28419506,0.881588127,0,22.26055878,10.41213176,2.875525483,0,5.788471686,3.93981477,0,133.4422857,46.38665049,0.87535134,35.41756018,4.475046108,0.751463738,0.098914701,19.00267436,0.850378439,18,34.92,40399.36363,9064.766104,22.4378933
1,Barracks,1959-pre,infil_reduce_plus_setback,3989,5495.724592,0,45.8253397,1.692003512,0,22.26019191,10.41213176,2.875525483,0,3.398314946,1.648712876,0,0,87.28419506,0.881588127,0,22.26055878,10.41213176,2.875525483,0,5.788471686,3.93981477,0,133.4422857,41.45922223,3.870843247,33.96979094,4.475046108,0.6716394,0.437405287,24.78286615,1.109044687,20,42.93,40399.36363,10788.8344,26.70545631
1,Barracks,1959-pre,lights_reduce_70p,3989,5495.724592,0,89.92272265,0.818853391,0,22.26055878,7.288235423,2.875525483,0,5.807915785,4.038135876,0,0,87.28419506,0.881588127,0,22.26055878,10.41213176,2.875525483,0,5.788471686,3.93981477,0,133.4422857,-2.638527593,3.068865867,0.322490185,4.475046108,-0.042744147,0.346781843,6.794068454,0.304037696,16,73.86,40399.36363,2197.616865,5.439731392
1,Barracks,1959-pre,load_reduce,3989,5495.724592,0,32.5420849,1.692003512,0,22.26019191,10.41213176,2.875525483,0,3.398314946,0.09135058,0,0,87.28419506,0.881588127,0,22.26055878,10.41213176,2.875525483,0,5.788471686,3.93981477,0,133.4422857,54.74247703,5.428205543,45.09116602,4.475046108,0.886828128,0.613387226,33.52402004,1.500215354,21,31.89,40399.36363,14521.44221,35.94473009
1,Barracks,1959-pre,occupancy_setback,3989,5495.724592,0,92.09495873,1.163344132,0,22.26055878,10.41213176,2.875525483,0,4.948339847,3.438303755,0,0,87.28419506,0.881588127,0,22.26055878,10.41213176,2.875525483,0,5.788471686,3.93981477,0,133.4422857,-4.810763672,1.059886849,-2.810860744,4.475046108,-0.077934371,0.119767214,0.93480249,0.041832842,12,214.14,40399.36363,60.97486117,0.150930252
1,Barracks,1959-pre,payback_less_than_20,3989,5495.724592,0,34.07156509,2.24377569,0,22.25982504,7.288235423,2.875525483,0,3.415190957,0.080711356,0,0,87.28419506,0.881588127,0,22.26055878,10.41213176,2.875525483,0,5.788471686,3.93981477,0,133.4422857,53.21336371,7.994092916,45.86811169,4.475046108,0.862056492,0.9033325,39.44962686,1.765388992,22,54.82,40399.36363,16480.05294,40.79285281
1,Barracks,1959-pre,plug_loads_90_percent,3989,5495.724592,0,86.06545358,1.060987458,0,22.26055878,10.41213176,2.875525483,0,5.935219605,4.032999698,0,0,87.28419506,0.881588127,0,22.26055878,10.41213176,2.875525483,0,5.788471686,3.93981477,0,133.4422857,1.218741472,-0.41933218,0.599067445,4.475046108,0.019743612,-0.047384536,-0.617667926,-0.027640925,4,100.00,40399.36363,-146.6642732,-0.363036098
1,Barracks,1959-pre,pump_fan_eff_,3989,5495.724592,0,85.94658777,1.077496599,0,22.26055878,10.41213176,2.875525483,0,5.934485866,3.151411572,0,0,87.28419506,0.881588127,0,22.26055878,10.41213176,2.875525483,0,5.788471686,3.93981477,0,133.4422857,1.337607287,0.446480545,1.336973376,4.475046108,0.021669238,0.050452302,1.611637912,0.07212154,14,34.42,40399.36363,627.8697786,1.554157596
2,Fire Hall,1959-pre,air_temp_reset_enabled,911.7335331,911.7335331,0,520.2791362,6.919059299,23.6545911,0,92.18709655,26.46974337,0,40.27739495,13.85639881,0,0,536.8288192,1.477650269,23.6545911,0,92.18709655,26.46974337,0,40.3748894,15.44068363,0,736.4334736,16.54968301,-3.759629756,1.736756097,31.25195281,0.268104865,-0.424838162,-0.501515213,-0.156733298,2,100.00,269748.4079,-308.4846289,-0.11436013
2,Fire Hall,1959-pre,baseline,911.7335331,911.7335331,0,536.8288192,1.477650269,23.6545911,0,92.18709655,26.46974337,0,40.3748894,15.44068363,0,0,536.8288192,1.477650269,23.6545911,0,92.18709655,26.46974337,0,40.3748894,15.44068363,0,736.4334736,0,0,0,31.25195281,0,0,0,0,3,NA,269748.4079,0,0
2,Fire Hall,1959-pre,boiler_eff_upgrade,911.7335331,911.7335331,0,530.4886332,1.535537599,23.6545911,0,92.18709655,26.46974337,0,40.24997464,15.3736562,0,0,536.8288192,1.477650269,23.6545911,0,92.18709655,26.46974337,0,40.3748894,15.44068363,0,736.4334736,6.340185998,0.13405487,0.879134518,31.25195281,0.102711013,0.0151482,0.377125916,0.117859213,5,306.39,269748.4079,1251.52103,0.463958635
2,Fire Hall,1959-pre,boiler_reset,911.7335331,911.7335331,0,389.0820726,1.535537599,23.6545911,0,92.18709655,26.46974337,0,40.24997464,15.3736562,0,0,536.8288192,1.477650269,23.6545911,0,92.18709655,26.46974337,0,40.3748894,15.44068363,0,736.4334736,147.7467467,0.13405487,20.08067352,31.25195281,2.393497296,0.0151482,7.707183966,2.408645496,16,0.42,269748.4079,26563.29539,9.847433612
2,Fire Hall,1959-pre,cooling_cop_3_0,911.7335331,911.7335331,0,530.4886332,1.096812571,23.6545911,0,92.18709655,26.46974337,0,40.24997464,15.3736562,0,0,536.8288192,1.477650269,23.6545911,0,92.18709655,26.46974337,0,40.3748894,15.44068363,0,736.4334736,6.340185998,0.572779898,0.93870881,31.25195281,0.102711013,0.064724128,0.535758974,0.167435142,8,64.36,269748.4079,1633.211805,0.60545744
2,Fire Hall,1959-pre,dcv_enabled,911.7335331,911.7335331,0,530.4886332,1.535537599,23.6545911,0,92.18709655,26.46974337,0,40.24997464,15.3736562,0,0,536.8288192,1.477650269,23.6545911,0,92.18709655,26.46974337,0,40.3748894,15.44068363,0,736.4334736,6.340185998,0.13405487,0.879134518,31.25195281,0.102711013,0.0151482,0.377125916,0.117859213,6,78.32,269748.4079,1251.52103,0.463958635
2,Fire Hall,1959-pre,ecm_cold_deck_reset_control,911.7335331,911.7335331,0,472.3362401,4.545678764,23.6545911,0,92.18709655,26.46974337,0,40.27739495,13.55172865,0,0,536.8288192,1.477650269,23.6545911,0,92.18709655,26.46974337,0,40.3748894,15.44068363,0,736.4334736,64.49257915,-1.081579063,8.610553751,31.25195281,1.044779782,-0.122218434,2.952011843,0.922561348,15,4.18,269748.4079,10603.19788,3.93077311
2,Fire Hall,1959-pre,economizers_enabled,911.7335331,911.7335331,0,531.2320284,1.468510164,23.6545911,0,92.18709655,26.46974337,0,40.24997464,14.70338185,0,0,536.8288192,1.477650269,23.6545911,0,92.18709655,26.46974337,0,40.3748894,15.44068363,0,736.4334736,5.596790811,0.871356653,0.878307097,31.25195281,0.090668011,0.098463302,0.605182384,0.189131313,9,6.22,269748.4079,1759.905844,0.652424923
2,Fire Hall,1959-pre,elec_reduce,911.7335331,911.7335331,0,562.6983624,1.032831837,23.6545911,0,64.52913957,26.46974337,0,40.66737275,12.25992718,0,0,536.8288192,1.477650269,23.6545911,0,92.18709655,26.46974337,0,40.3748894,15.44068363,0,736.4334736,-25.86954316,30.99104852,0.695447117,31.25195281,-0.419086599,3.501988483,9.864669585,3.082901884,18,12.28,269748.4079,22331.56399,8.278663871
2,Fire Hall,1959-pre,envelope_ecm_roof,911.7335331,911.7335331,0,522.7073574,1.492883777,23.6545911,0,92.18709655,26.46974337,0,39.94225778,15.1847607,0,0,536.8288192,1.477650269,23.6545911,0,92.18709655,26.46974337,0,40.3748894,15.44068363,0,736.4334736,14.12146185,0.67332105,2.008977515,31.25195281,0.228767682,0.076085279,0.975468517,0.304852961,10,625.06,269748.4079,3113.530984,1.154235166
2,Fire Hall,1959-pre,envelope_ecm_wall,911.7335331,911.7335331,0,517.2324346,1.5385843,23.6545911,0,92.18709655,26.46974337,0,39.69547495,14.9867251,0,0,536.8288192,1.477650269,23.6545911,0,92.18709655,26.46974337,0,40.3748894,15.44068363,0,736.4334736,19.59638459,1.072438958,2.806611092,31.25195281,0.31746143,0.121185602,1.403582795,0.438647033,12,679.73,269748.4079,4440.774735,1.646265411
2,Fire Hall,1959-pre,envelope_ecm_windows,911.7335331,911.7335331,0,520.2029687,1.566004615,23.6545911,0,92.18709655,26.46974337,0,39.83866992,15.04156572,0,0,536.8288192,1.477650269,23.6545911,0,92.18709655,26.46974337,0,40.3748894,15.44068363,0,736.4334736,16.62585055,0.846983041,2.372628922,31.25195281,0.269338779,0.095709084,1.168080167,0.365047862,11,178.66,269748.4079,3712.902493,1.376431662
2,Fire Hall,1959-pre,fans_to_variable,911.7335331,911.7335331,0,530.6318282,1.529444196,23.6545911,0,92.18709655,26.46974337,0,40.12810657,15.3767029,0,0,536.8288192,1.477650269,23.6545911,0,92.18709655,26.46974337,0,40.3748894,15.44068363,0,736.4334736,6.196991023,0.258969635,0.876652256,31.25195281,0.100391255,0.029263569,0.414869509,0.129654823,7,8.94,269748.4079,1334.564975,0.494744338
2,Fire Hall,1959-pre,hrv_enabled,911.7335331,911.7335331,0,460.6734664,2.620163363,23.6545911,0,92.18709655,26.46974337,0,40.23474113,14.66072803,4.804648399,0,536.8288192,1.477650269,23.6545911,0,92.18709655,26.46974337,0,40.3748894,15.44068363,0,736.4334736,76.15535281,-5.027057615,9.658482097,31.25195281,1.233716716,-0.56805751,2.129976354,0.665659205,14,116.64,269748.4079,9258.268029,3.432186347
2,Fire Hall,1959-pre,infil_reduce,911.7335331,911.7335331,0,240.732079,2.699377604,23.6545911,0,92.18709655,26.46974337,0,29.11732705,7.951891136,0,0,536.8288192,1.477650269,23.6545911,0,92.18709655,26.46974337,0,40.3748894,15.44068363,0,736.4334736,296.0967402,17.52462752,42.58651718,31.25195281,4.796767192,1.980282909,21.68520522,6.777050101,20,10.59,269748.4079,68247.74244,25.30051724
2,Fire Hall,1959-pre,infil_reduce_plus_setback,911.7335331,911.7335331,0,285.2687628,2.818198966,23.6545911,0,92.18709655,26.46974337,0,30.82043323,8.533811139,0,0,536.8288192,1.477650269,23.6545911,0,92.18709655,26.46974337,0,40.3748894,15.44068363,0,736.4334736,251.5600565,15.12077997,36.21248164,31.25195281,4.075272914,1.708648136,18.50739084,5.783921051,19,13.34,269748.4079,58184.32867,21.56985063
