baseline_index,building_type,vintage_name,measure_id,fan_volume_type,fan_motor_eff,pump_speed_type,pump_control_type,pump_motor_eff,cost_per_building
1,Barracks,1959-pre,fans_to_variable,VariableVolume,NA,NA,NA,NA,3120
2,Fire Hall,1959-pre,fans_to_variable,VariableVolume,NA,NA,NA,NA,1088
3,Food Service,1959-pre,fans_to_variable,VariableVolume,NA,NA,NA,NA,4160
4,Food Service,2005-2014,fans_to_variable,VariableVolume,NA,NA,NA,NA,4160
5,Hangar,1959-pre,fans_to_variable,VariableVolume,NA,NA,NA,NA,2255
6,Hangar,1960-1979,fans_to_variable,VariableVolume,NA,NA,NA,NA,2255
7,Hangar,1980-2004,fans_to_variable,VariableVolume,NA,NA,NA,NA,2255
8,Maintenance Shop,1959-pre,fans_to_variable,VariableVolume,NA,NA,NA,NA,1215
9,Maintenance Shop,1980-2004,fans_to_variable,VariableVolume,NA,NA,NA,NA,1215
10,Maintenance Shop-Small,1959-pre,fans_to_variable,VariableVolume,NA,NA,NA,NA,2707
11,Maintenance Shop-Small,1960-1979,fans_to_variable,VariableVolume,NA,NA,NA,NA,2707
12,Maintenance Shop-Small,1980-2004,fans_to_variable,VariableVolume,NA,NA,NA,NA,2707
13,Office,1959-pre,fans_to_variable,VariableVolume,NA,NA,NA,NA,5200
14,Office,1960-1979,fans_to_variable,VariableVolume,NA,NA,NA,NA,5200
15,Office,1980-2004,fans_to_variable,VariableVolume,NA,NA,NA,NA,5200
16,Office-Small,1960-1979,fans_to_variable,VariableVolume,NA,NA,NA,NA,4160
17,Office-Small,1980-2004,fans_to_variable,VariableVolume,NA,NA,NA,NA,4160
18,Office-Small,2005-2014,fans_to_variable,VariableVolume,NA,NA,NA,NA,4160
19,Recreation Center,1980-2004,fans_to_variable,VariableVolume,NA,NA,NA,NA,11913
24,Training Building,1959-pre,fans_to_variable,NA,NA,NA,NA,NA,7564
25,Training Building,1980-2004,fans_to_variable,VariableVolume,NA,NA,NA,NA,7564
26,Training Building,2005-2014,fans_to_variable,VariableVolume,NA,NA,NA,NA,7564
27,Vehicle Garage,1959-pre,fans_to_variable,VariableVolume,NA,NA,NA,NA,3120
28,Vehicle Garage,1980-2004,fans_to_variable,VariableVolume,NA,NA,NA,NA,3120
NA,Barracks,1960-1979,fans_to_variable,VariableVolume,NA,NA,NA,NA,3120
NA,Barracks,1980-2004,fans_to_variable,VariableVolume,NA,NA,NA,NA,3120
30,Barracks,2005-2014,fans_to_variable,VariableVolume,NA,NA,NA,NA,3120
NA,Fire Hall,1960-1979,fans_to_variable,VariableVolume,NA,NA,NA,NA,1088
NA,Fire Hall,1980-2004,fans_to_variable,VariableVolume,NA,NA,NA,NA,1088
31,Fire Hall,2005-2014,fans_to_variable,VariableVolume,NA,NA,NA,NA,1088
NA,Food Service,1960-1979,fans_to_variable,VariableVolume,NA,NA,NA,NA,4160
NA,Food Service,1980-2004,fans_to_variable,VariableVolume,NA,NA,NA,NA,4160
29,Hangar,2005-2014,fans_to_variable,VariableVolume,NA,NA,NA,NA,2255
NA,Maintenance Shop,1960-1979,fans_to_variable,VariableVolume,NA,NA,NA,NA,1215
NA,Maintenance Shop,2005-2014,fans_to_variable,VariableVolume,NA,NA,NA,NA,1215
