baseline_index,building_type,vintage_name,measure_id,lighting_scaling_factor,lighting_fraction_radiant,lighting_fraction_visible,lighting_return_air_fraction,elec_equipment_load_scaling_factor,elec_equipment_fraction_radiant,elec_equipment_fraction_latent,elec_equipment_fraction_lost,,exhaust_fans_occ_control_enabled,dcv_enabled,fan_motor_eff,pump_motor_eff,cost_per_building,cost_per_building_dcv,cost_per_building_exhaustfans,cost_per_building_plugreduce,cost_per_building_lightreduce,cost_per_building_fansandpumps
1,Barracks,1959-pre,elec_reduce,0.7,NA,NA,NA,0.9,0.3,NA,NA,,NA,TRUE,0.895,0.895,192544,64275,4523,21281,92265,10200
2,Fire Hall,1959-pre,elec_reduce,0.7,NA,NA,NA,0.9,0.3,NA,NA,,NA,TRUE,0.895,0.895,35564,8668,2261,2750,15765,6120
3,Food Service,1959-pre,elec_reduce,0.7,NA,NA,NA,0.9,0.3,NA,NA,,TRUE,TRUE,0.895,0.895,139354,7713,6784,2554,111667,10636
4,Food Service,2005-2014,elec_reduce,0.7,NA,NA,NA,0.9,0.3,NA,NA,,TRUE,TRUE,0.895,0.895,139354,7713,6784,2554,111667,10636
5,Hangar,1959-pre,elec_reduce,0.7,NA,NA,NA,0.9,0.3,NA,NA,,TRUE,TRUE,0.895,0.895,232175,65989,3769,21849,133713,6855
6,Hangar,1960-1979,elec_reduce,0.7,NA,NA,NA,0.9,0.3,NA,NA,,TRUE,TRUE,0.895,0.895,232175,65989,3769,21849,133713,6855
7,Hangar,1980-2004,elec_reduce,0.7,NA,NA,NA,0.9,0.3,NA,NA,,TRUE,TRUE,0.895,0.895,232175,65989,3769,21849,133713,6855
8,Maintenance Shop,1959-pre,elec_reduce,0.7,NA,NA,NA,0.9,0.3,NA,NA,,TRUE,TRUE,0.895,0.895,65656,9427,2261,3121,45581,5266
9,Maintenance Shop,1980-2004,elec_reduce,0.7,NA,NA,NA,0.9,0.3,NA,NA,,TRUE,TRUE,0.895,0.895,65656,9427,2261,3121,45581,5266
10,Maintenance Shop-Small,1959-pre,elec_reduce,0.7,NA,NA,NA,0.9,0.3,NA,NA,,TRUE,TRUE,0.895,0.895,39706,7713,754,2554,24169,4516
