baseline_index,building_type,vintage_name,measure_id,erv_enabled,erv_autosizeNominalSupplyAirFlowRate,erv_NominalSupplyAirFlowRate,erv_HeatExchangerType,erv_SensibleEffectivenessat100CoolingAirFlow,erv_SensibleEffectivenessat75CoolingAirFlow,erv_LatentEffectiveness100Cooling,erv_LatentEffectiveness75Cooling,erv_SensibleEffectiveness100Heating,erv_SensibleEffectiveness75Heating,erv_LatentEffectiveness100Heating,erv_LatentEffectiveness75Heating,erv_SupplyAirOutletTemperatureControl,erv_setFrostControlType,erv_ThresholdTemperature,erv_InitialDefrostTimeFraction,erv_nominal_electric_power,erv_economizer_lockout,cost_per_building
1,Barracks,1959-pre,hrv_enabled,TRUE,YES,NA,Plate,0.76,0.81,0.68,0.73,0.76,0.81,0.68,0.73,No,ExhaustAirRecirculation,1.7,0,500,Yes,271466
2,Fire Hall,1959-pre,hrv_enabled,TRUE,YES,NA,Plate,0.76,0.81,0.68,0.73,0.76,0.81,0.68,0.73,No,ExhaustAirRecirculation,1.7,0,500,Yes,72910
3,Food Service,1959-pre,hrv_enabled,TRUE,YES,NA,Plate,0.76,0.81,0.68,0.73,0.76,0.81,0.68,0.73,No,ExhaustAirRecirculation,1.7,0,500,Yes,296001
4,Food Service,2005-2014,hrv_enabled,TRUE,YES,NA,Plate,0.76,0.81,0.68,0.73,0.76,0.81,0.68,0.73,No,ExhaustAirRecirculation,1.7,0,500,Yes,296001
5,Hangar,1959-pre,hrv_enabled,TRUE,YES,NA,Plate,0.54,0.59,0.3,0.37,0.58,0.62,0.41,0.45,No,ExhaustAirRecirculation,1.7,0,500,Yes,187064
6,Hangar,1960-1979,hrv_enabled,TRUE,YES,NA,Plate,0.54,0.59,0.3,0.37,0.58,0.62,0.41,0.45,No,ExhaustAirRecirculation,1.7,0,500,Yes,187064
7,Hangar,1980-2004,hrv_enabled,TRUE,YES,NA,Plate,0.54,0.59,0.3,0.37,0.58,0.62,0.41,0.45,No,ExhaustAirRecirculation,1.7,0,500,Yes,187064
8,Maintenance Shop,1959-pre,hrv_enabled,TRUE,YES,NA,Plate,0.54,0.59,0.3,0.37,0.58,0.62,0.41,0.45,No,ExhaustAirRecirculation,1.7,0,500,Yes,138209
9,Maintenance Shop,1980-2004,hrv_enabled,TRUE,YES,NA,Plate,0.54,0.59,0.3,0.37,0.58,0.62,0.41,0.45,No,ExhaustAirRecirculation,1.7,0,500,Yes,138209
10,Maintenance Shop-Small,1959-pre,hrv_enabled,TRUE,YES,NA,Plate,0.54,0.59,0.3,0.37,0.58,0.62,0.41,0.45,No,ExhaustAirRecirculation,1.7,0,500,Yes,48855
11,Maintenance Shop-Small,1960-1979,hrv_enabled,TRUE,YES,NA,Plate,0.54,0.59,0.3,0.37,0.58,0.62,0.41,0.45,No,ExhaustAirRecirculation,1.7,0,500,Yes,48855
12,Maintenance Shop-Small,1980-2004,hrv_enabled,TRUE,YES,NA,Plate,0.54,0.59,0.3,0.37,0.58,0.62,0.41,0.45,No,ExhaustAirRecirculation,1.7,0,500,Yes,48855
13,Office,1959-pre,hrv_enabled,TRUE,YES,NA,Plate,0.76,0.81,0.68,0.73,0.76,0.81,0.68,0.73,No,ExhaustAirRecirculation,1.7,0,500,Yes,313530
14,Office,1960-1979,hrv_enabled,TRUE,YES,NA,Plate,0.76,0.81,0.68,0.73,0.76,0.81,0.68,0.73,No,ExhaustAirRecirculation,1.7,0,500,Yes,313530
15,Office,1980-2004,hrv_enabled,TRUE,YES,NA,Plate,0.76,0.81,0.68,0.73,0.76,0.81,0.68,0.73,No,ExhaustAirRecirculation,1.7,0,500,Yes,313530
16,Office-Small,1960-1979,hrv_enabled,TRUE,YES,NA,Plate,0.76,0.81,0.68,0.73,0.76,0.81,0.68,0.73,No,ExhaustAirRecirculation,1.7,0,500,Yes,167025
17,Office-Small,1980-2004,hrv_enabled,TRUE,YES,NA,Plate,0.76,0.81,0.68,0.73,0.76,0.81,0.68,0.73,No,ExhaustAirRecirculation,1.7,0,500,Yes,167025
18,Office-Small,2005-2014,hrv_enabled,TRUE,YES,NA,Plate,0.76,0.81,0.68,0.73,0.76,0.81,0.68,0.73,No,ExhaustAirRecirculation,1.7,0,500,Yes,167025
19,Recreation Center,1980-2004,hrv_enabled,TRUE,YES,NA,Plate,0.76,0.81,0.68,0.73,0.76,0.81,0.68,0.73,No,ExhaustAirRecirculation,1.7,0,500,Yes,796294
20,Storage Building,1959-pre,hrv_enabled,TRUE,YES,NA,Plate,0.54,0.59,0.3,0.37,0.58,0.62,0.41,0.45,No,ExhaustAirRecirculation,1.7,0,500,Yes,0
21,Storage Building,1960-1979,hrv_enabled,TRUE,YES,NA,Plate,0.54,0.59,0.3,0.37,0.58,0.62,0.41,0.45,No,ExhaustAirRecirculation,1.7,0,500,Yes,0
22,Storage Building,1980-2004,hrv_enabled,TRUE,YES,NA,Plate,0.54,0.59,0.3,0.37,0.58,0.62,0.41,0.45,No,ExhaustAirRecirculation,1.7,0,500,Yes,0
23,Storage Building,2005-2014,hrv_enabled,TRUE,YES,NA,Plate,0.54,0.59,0.3,0.37,0.58,0.62,0.41,0.45,No,ExhaustAirRecirculation,1.7,0,500,Yes,0
24,Training Building,1959-pre,hrv_enabled,TRUE,YES,NA,Plate,0.76,0.81,0.68,0.73,0.76,0.81,0.68,0.73,No,ExhaustAirRecirculation,1.7,0,500,Yes,254281
25,Training Building,1980-2004,hrv_enabled,TRUE,YES,NA,Plate,0.76,0.81,0.68,0.73,0.76,0.81,0.68,0.73,No,ExhaustAirRecirculation,1.7,0,500,Yes,254281
26,Training Building,2005-2014,hrv_enabled,TRUE,YES,NA,Plate,0.76,0.81,0.68,0.73,0.76,0.81,0.68,0.73,No,ExhaustAirRecirculation,1.7,0,500,Yes,254281
27,Vehicle Garage,1959-pre,hrv_enabled,TRUE,YES,NA,Plate,0.54,0.59,0.3,0.37,0.58,0.62,0.41,0.45,No,ExhaustAirRecirculation,1.7,0,500,Yes,163879
28,Vehicle Garage,1980-2004,hrv_enabled,TRUE,YES,NA,Plate,0.54,0.59,0.3,0.37,0.58,0.62,0.41,0.45,No,ExhaustAirRecirculation,1.7,0,500,Yes,163879
NA,Barracks,1960-1979,hrv_enabled,TRUE,YES,NA,Plate,0.76,0.81,0.68,0.73,0.76,0.81,0.68,0.73,No,ExhaustAirRecirculation,1.7,0,500,Yes,271466
NA,Barracks,1980-2004,hrv_enabled,TRUE,YES,NA,Plate,0.76,0.81,0.68,0.73,0.76,0.81,0.68,0.73,No,ExhaustAirRecirculation,1.7,0,500,Yes,271466
30,Barracks,2005-2014,hrv_enabled,TRUE,YES,NA,Plate,0.76,0.81,0.68,0.73,0.76,0.81,0.68,0.73,No,ExhaustAirRecirculation,1.7,0,500,Yes,271466
NA,Fire Hall,1960-1979,hrv_enabled,TRUE,YES,NA,Plate,0.76,0.81,0.68,0.73,0.76,0.81,0.68,0.73,No,ExhaustAirRecirculation,1.7,0,500,Yes,72910
NA,Fire Hall,1980-2004,hrv_enabled,TRUE,YES,NA,Plate,0.76,0.81,0.68,0.73,0.76,0.81,0.68,0.73,No,ExhaustAirRecirculation,1.7,0,500,Yes,72910
31,Fire Hall,2005-2014,hrv_enabled,TRUE,YES,NA,Plate,0.76,0.81,0.68,0.73,0.76,0.81,0.68,0.73,No,ExhaustAirRecirculation,1.7,0,500,Yes,72910
NA,Food Service,1960-1979,hrv_enabled,TRUE,YES,NA,Plate,0.76,0.81,0.68,0.73,0.76,0.81,0.68,0.73,No,ExhaustAirRecirculation,1.7,0,500,Yes,296001
NA,Food Service,1980-2004,hrv_enabled,TRUE,YES,NA,Plate,0.76,0.81,0.68,0.73,0.76,0.81,0.68,0.73,No,ExhaustAirRecirculation,1.7,0,500,Yes,296001
29,Hangar,2005-2014,hrv_enabled,TRUE,YES,NA,Plate,0.54,0.59,0.3,0.37,0.58,0.62,0.41,0.45,No,ExhaustAirRecirculation,1.7,0,500,Yes,187064
NA,Maintenance Shop,1960-1979,hrv_enabled,TRUE,YES,NA,Plate,0.54,0.59,0.3,0.37,0.58,0.62,0.41,0.45,No,ExhaustAirRecirculation,1.7,0,500,Yes,138209
NA,Maintenance Shop,2005-2014,hrv_enabled,TRUE,YES,NA,Plate,0.54,0.59,0.3,0.37,0.58,0.62,0.41,0.45,No,ExhaustAirRecirculation,1.7,0,500,Yes,138209
