Row Labels,Sum of Savings Electricity-Heating KWh/m2,Sum of Savings Natural Gas-Heating KWh/m2,Sum of Savings Electricity-Cooling KWh/m2,Sum of Savings Electricity-Water Systems KWh/m2,Sum of Savings Natural Gas-Water Systems KWh/m2,Sum of Savings Electricity-Interior Lighting KWh/m2,Sum of Savings Electricity-Interior Equipment KWh/m2,Sum of Savings District Heating-Interior Equipment KWh/m2,Sum of Savings Electricity-Fans KWh/m2,Sum of Savings Electricity-Pumps KWh/m2
2013,0.705155524,632.9300101,-9.004873411,2.829623149,5.26412434,43.16180452,4.168215545,0.348036273,16.82596729,13.89814928
air_temp_reset_enabled,0.17253087,12.54033793,-0.668823553,-0.000154983,0.000663452,1.826377002,0.169193663,0,0.184308793,-0.504452012
baseline,0,0,0,0,0,0,0,0,0,0
boiler_eff_upgrade,0.013896963,14.77358501,-0.605834955,0.070142335,3.015E-05,2.160969652,0.249316699,0,0.538661455,-0.069993357
boiler_reset,-0.002897323,92.18849966,-0.639741875,1.76419E-05,3.015E-05,1.826377002,0.169193663,0,0.36508054,3.259762285
cooling_cop_3_0,-0.002897323,20.71826394,0.207746808,0.055294968,3.015E-05,2.603163568,0.336714014,0,0.782519348,0.379033661
dcv_enabled,0.022458809,59.65301532,-0.870536267,1.76419E-05,4.5225E-05,0,0,0,-0.113396304,0.031797745
ecm_cold_deck_reset_control,-0.144465151,19.92237862,0.844358035,-0.000592231,9.38126E-05,0,0,0,-0.177556397,-0.000893019
economizers_enabled,-0.003093297,13.71264868,-0.514070591,1.76419E-05,3.015E-05,1.826377002,0.169193663,0,0.364744851,-0.043268013
envelope_ecm_roof,0.030391647,22.75753252,-0.415056544,0.000225994,0.0001809,0,0,0,0.587187244,0.358060835
envelope_ecm_wall,-0.072105174,12.87499856,-0.564944923,0.00031285,0.000165825,0,0,0,0.399428253,0.36244168
envelope_ecm_windows,-0.125291181,4.74545473,-0.668566803,1.76419E-05,0.000165825,0,0,0,0.034047858,0.032714246
exhaust_fans_occ_control,0.832739473,36.03289007,-0.433627975,0.124058025,3.281263853,5.062610062,0.849342827,0.348036273,5.194845905,0.653263014
fans_to_variable,-0.002953796,13.59528841,-0.636977245,1.76419E-05,3.015E-05,1.826377002,0.169193663,0,0.480743373,-0.064580162
hrv_enabled,0.052442962,59.08588312,-1.048894293,1.76419E-05,7.55146E-05,0,0,0,-0.112956044,0.036758981
infil_reduce,0.250763496,120.5389901,-0.548962974,0.065443679,0.000377155,0.410168386,0.08855058,0,2.965467785,2.604105511
lights_reduce_70p,-0.063314891,-9.671501994,-0.089955375,-6.30206E-05,-4.5225E-05,12.55196485,0,0,-0.117246543,-0.12891312
occupancy_setback,-0.261624462,28.09373709,-0.830460392,-0.000227443,0.000473777,0,0,0,0.077783497,0.079365328
plug_loads_90_percent,-0.002440814,1.669631882,-0.611595185,1.76419E-05,1.5075E-05,0,0,0,-0.12867932,-0.073275842
pump_fan_eff_,-0.002897323,13.7699938,-0.639741875,1.76419E-05,3.015E-05,1.826377002,0.169193663,0,0.36508054,1.794238392
pumps_to_variable,0.013912038,95.92838264,-0.26918743,2.51504184,1.980468251,11.241043,1.798323108,0,5.135902458,5.191983125
Grand Total,0.705155524,632.9300101,-9.004873411,2.829623149,5.26412434,43.16180452,4.168215545,0.348036273,16.82596729,13.89814928
