baseline_index,building_type,vintage_name,measure_id,infiltration_flow_per_exterior_area,occ_stbck_enabled,occ_stbck_tolerance,occ_stbck_heat_setback,occ_stbck_heat_setpoint,occ_stbck_cool_setback,occ_stbck_cool_setpoint,pump_speed_type,pump_control_type,pump_motor_eff,cost_per_building,infil_cost_per_building
1,Barracks,1959-pre,infil_reduce_plus_setback,0.0002,TRUE,0.05,17,22,99,24,NA,NA,NA,195624,158818
2,Fire Hall,1959-pre,infil_reduce_plus_setback,0.0003,TRUE,0.05,17,22,99,24,NA,NA,NA,72484,67418
3,Food Service,1959-pre,infil_reduce_plus_setback,0.0002,TRUE,0.05,17,22,99,24,NA,NA,NA,88213,83796
4,Food Service,2005-2014,NA,0.0002,TRUE,0.05,17,22,99,24,NA,NA,NA,4417,0
5,Hangar,1959-pre,infil_reduce_plus_setback,0.0003,TRUE,0.05,17,22,99,24,NA,NA,NA,134565,96777
6,Hangar,1960-1979,infil_reduce_plus_setback,0.0003,TRUE,0.05,17,22,99,24,NA,NA,NA,134565,96777
7,Hangar,1980-2004,infil_reduce_plus_setback,0.0003,TRUE,0.05,17,22,99,24,NA,NA,NA,126612,88824
8,Maintenance Shop,1959-pre,infil_reduce_plus_setback,0.0003,TRUE,0.05,17,22,99,24,NA,NA,NA,79417,74019
9,Maintenance Shop,1980-2004,infil_reduce_plus_setback,0.0003,TRUE,0.05,17,22,99,24,NA,NA,NA,72538,67140
10,Maintenance Shop-Small,1959-pre,infil_reduce_plus_setback,0.0003,TRUE,0.05,17,22,99,24,NA,NA,NA,51523,47106
11,Maintenance Shop-Small,1960-1979,infil_reduce_plus_setback,0.0003,TRUE,0.05,17,22,99,24,NA,NA,NA,51523,47106
12,Maintenance Shop-Small,1980-2004,infil_reduce_plus_setback,0.0003,TRUE,0.05,17,22,99,24,NA,NA,NA,47617,43200
13,Office,1959-pre,infil_reduce_plus_setback,0.0002,TRUE,0.05,17,22,99,24,NA,NA,NA,79519,54491
14,Office,1960-1979,infil_reduce_plus_setback,0.0002,TRUE,0.05,17,22,99,24,NA,NA,NA,79519,54491
15,Office,1980-2004,infil_reduce_plus_setback,0.0002,TRUE,0.05,17,22,99,24,NA,NA,NA,74929,49901
16,Office-Small,1960-1979,infil_reduce_plus_setback,0.0002,TRUE,0.05,17,22,99,24,NA,NA,NA,44808,36956
17,Office-Small,1980-2004,infil_reduce_plus_setback,0.0002,TRUE,0.05,17,22,99,24,NA,NA,NA,41404,33552
18,Office-Small,2005-2014,NA,0.0002,TRUE,0.05,17,22,99,24,NA,NA,NA,7852,0
19,Recreation Center,1980-2004,infil_reduce_plus_setback,0.0002,TRUE,0.05,17,22,99,24,NA,NA,NA,128554,112850
20,Storage Building,1959-pre,infil_reduce_plus_setback,0.0003,TRUE,0.05,17,22,99,24,NA,NA,NA,37850,37359
