baseline_id,building_name ,vintage_name ,measure_id ,actual_floor_area,Total Floor Area M2,baseline-Electricity-Heating KWh/m2,baseline-Natural Gas-Heating KWh/m2,baseline-Electricity-Cooling KWh/m2,baseline-Electricity-Water Systems KWh/m2,baseline-Natural Gas-Water Systems KWh/m2,baseline-Electricity-Interior Lighting KWh/m2,baseline-Electricity-Interior Equipment KWh/m2,baseline-District Heating-Interior Equipment KWh/m2,baseline-Electricity-Fans KWh/m2,baseline-Electricity-Pumps KWh/m2,baseline-Electricity-Heat Recovery KWh/m2,Baseline Total Energy kWh/m2,Gas Energy Savings KWh/m2,Elec Energy Savings KWh/m2,Total Energy Savings %,Baseline Total Cost $/m2,Gas Cost Savings $/m2,Elec Cost Savings $/m2,Total Cost Savings %,Total Savings $,Capital Cost,Payback Period,GHG Baseline g/m2,GHG Savings g/m2,GHG Savings %,%base Area ,Electricity-Heating KWh/m2,Natural Gas-Heating KWh/m2,Electricity-Cooling KWh/m2,Electricity-Water Systems KWh/m2,Natural Gas-Water Systems KWh/m2,Electricity-Interior Lighting KWh/m2,Electricity-Interior Equipment KWh/m2,District Heating-Interior Equipment KWh/m2,Electricity-Fans KWh/m2,Electricity-Pumps KWh/m2,Electricity-Heat Recovery KWh/m2,% base area,Area for Base (m2),Saving $
1,Barracks,1959-pre,retro-x,3989,5495.724592,0,34.07156509,2.24377569,0,22.25982504,7.288235423,2.875525483,0,3.415190957,0.080711356,0,72.23482904,4.08858781,0.68876136,6.61363671,1.886086514,0.066235123,0.077830034,7.638311137,574.6759083,34414,59.88418778,40399.36363,1331.079602,3.294803388,0.086709848,,,,,,,,,,,,,,
2,Fire Hall,1959-pre,retro-x,911.7335331,911.7335331,0,184.8647121,3.192943261,23.6545911,0,64.52913957,26.46974337,0,31.3353258,6.059889452,0,340.1063446,22.18376545,4.870579021,7.954672089,13.24532004,0.359377,0.550375429,6.868482051,829.4517969,11902,14.3492365,269748.4079,8208.297764,3.042945768,0.005569791,,,,,,,,,,,,,,
3,Food Service,1959-pre,retro-x,2568,2693.605037,0,143.9309678,7.172165974,51.87063805,0,54.0001667,11.9257537,0,14.81723282,0.174019654,0,283.8909447,17.27171613,2.659610213,7.020768615,12.04514023,0.279801801,0.300535954,4.818024069,1490.307356,16046,10.76690653,272626.0852,5405.498073,1.982751603,0.043262022,,,,,,,,,,,,,,
4,Food Service,2005-2014,retro-x,2568,2693.605037,0,131.7387772,5.12915557,51.87063805,0,54.0001667,11.9257537,0,13.8321046,0.168120683,0,268.6647165,15.80865326,2.295525703,6.738577064,11.5047805,0.256100183,0.259394404,4.480699023,1323.7901,16046,12.12125699,207371.2662,4826.856295,2.327639882,0,,,,,,,,,,,,,,
5,Hangar,1959-pre,retro-x,6423,6276.579848,0,154.430772,1.89714276,0,5.842692467,40.04198547,6.365776709,0,5.326401528,0.110957263,0,214.0157282,18.53169264,0.880140186,9.070283287,4.144561568,0.300213421,0.099455841,9.643221732,2567.075669,33120,12.90184018,155159.9863,4082.894945,2.631409709,0.268663553,,,,,,,,,,,,,,
6,Hangar,1960-1979,retro-x,6423,6276.579848,0,156.4447596,1.72640444,0,5.842692467,40.04198547,6.365776709,0,5.128037114,0.108692829,0,215.6583486,18.77337115,0.835576126,9.09259827,4.135223676,0.304128613,0.094420102,9.63789981,2559.878395,33120,12.93811458,151811.634,4087.384665,2.692405423,0.026924257,,,,,,,,,,,,,,
7,Hangar,1980-2004,retro-x,6423,6276.579848,0,125.3744614,1.371341198,0,5.842692467,40.04198547,6.365776709,0,4.422439496,0.095106226,0,183.513803,15.04493537,0.70666643,8.583333539,3.510494883,0.243727953,0.079853307,9.217539703,2078.36243,33120,15.93562293,117407.8014,3307.843225,2.817396446,0.031409473,,,,,,,,,,,,,,
10,Maintenance Shop-Small,1959-pre,retro-x,927,923.717954,0,251.9338095,5.362733789,0,4.840644343,38.60142256,6.606091314,0,18.92197009,18.44816638,0,344.714838,30.23205714,5.127944431,10.25775443,9.73504881,0.489759326,0.579457721,10.98317088,991.164202,10609,10.70357462,249946.6073,9872.849883,3.949983555,0.006758071,,,,,,,,,,,,,,
11,Maintenance Shop-Small,1960-1979,retro-x,927,923.717954,0,235.4593223,5.088108705,0,4.840644343,38.60142256,6.606091314,0,18.07395198,17.57298754,0,326.2425287,28.25511867,4.888205786,10.15910605,9.242408227,0.457732923,0.552367254,10.92897167,936.3628635,10609,11.33000935,236287.9356,9310.405277,3.940279581,0.003128416,,,,,,,,,,,,,,
12,Maintenance Shop-Small,1980-2004,retro-x,927,923.717954,0,163.0699608,2.857911592,0,4.840644343,38.60142256,6.606091314,0,13.01300399,12.35511094,0,241.3441455,19.56839529,3.387123183,9.511529035,6.656181118,0.317008004,0.38274492,10.51282877,648.67096,6210,9.573420707,153410.4339,6449.539926,4.204107742,0.021039032,,,,,,,,,,,,,,
