Air Leakage (Infiltration) Rate Assumptions,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Units are  = m3/s/m2,,,,,,,,,,,,,,,,,,
Infiltration Building Type,2005-2014,1980-2004,1960-1979,pre-1960,,,,,,,,,,,,,,
Air Terminal,0.0002,0.00035,0.0005,0.0007,,,,,,,,,,,,,,
Communications & Control,0.0002,0.00035,0.0005,0.0007,,,,,,,,,,,,,,
Control Tower,0.0002,0.00035,0.0005,0.0007,,,,,,,,,,,,,,
Fire Hall,0.0003,0.00045,0.00075,0.0008,,,,,,,,,,,,,,
Fitness & Rec. - Arena,0.0002,0.00035,0.0005,0.0007,,,,,,,,,,,,,,
Fitness & Rec. - Multi-gym,0.0002,0.00035,0.0005,0.0007,,,,,,,,,,,,,,
Fitness & Rec. - Pool,0.0002,0.00035,0.0005,0.0007,,,,,,,,,,,,,,
Food Services,0.0002,0.00035,0.0005,0.0007,,,,,,,,,,,,,,
Hangars,0.0003,0.00045,0.00075,0.0008,,,,,,,,,,,,,,
Infrastructure,0.0003,0.00045,0.00075,0.0008,,,,,,,,,,,,,,
Medical Facilities,0.0002,0.00035,0.0005,0.0007,,,,,,,,,,,,,,
Misc. Bldgs < 100m2,0.0002,0.00035,0.0005,0.0007,,,,,,,,,,,,,,
Mobile Prefab Buildings,0.0002,0.00035,0.0005,0.0007,,,,,,,,,,,,,,
Motel Type Residences,0.0002,0.00035,0.0005,0.0007,,,,,,,,,,,,,,
Museum,0.0002,0.00035,0.0005,0.0007,,,,,,,,,,,,,,
Offices,0.0002,0.00035,0.0005,0.0007,,,,,,,,,,,,,,
Recreational / Club Bldgs,0.0002,0.00035,0.0005,0.0007,,,,,,,,,,,,,,
Religious Bldgs,0.0002,0.00035,0.0005,0.0007,,,,,,,,,,,,,,
Retail Bldgs,0.0002,0.00035,0.0005,0.0007,,,,,,,,,,,,,,
Sleeping barracks,0.0002,0.00035,0.0005,0.0007,,,,,,,,,,,,,,
Storage Bldgs,0.0002,0.00035,0.0005,0.0007,,,,,,,,,,,,,,
Training Bldgs,0.0002,0.00035,0.0005,0.0007,,,,,,,,,,,,,,
University Dormitory Type,0.0002,0.00035,0.0005,0.0007,,,,,,,,,,,,,,
Warehouses,0.0003,0.00045,0.00075,0.0008,,,,,,,,,,,,,,
Workshops,0.0003,0.00045,0.00075,0.0008,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Small Building Types,,,,,,Infiltration @ 5 pascals (normal),,,,,,,,,,,,
Bldg Type,Type,No. Bldgs,Ave. Floor Area (m2),Total Area (m2),% Total Floor Area,pre-1960,,1960-1979,,1980-2004,,post-2004,,,,,,
,,,,,,ACH,L/s/m2,ACH,L/s/m2,ACH,L/s/m2,ACH,L/s/m2,,,,,
Hangars,1c,3,435,"1,305.0",3.7%,1.50,0.80,1.00,0.75,0.66,0.45,0.40,0.3,,,,,
Training Bldgs,2b,3,292.2,876.6,2.5%,1.00,0.70,0.60,0.50,0.44,0.35,0.27,0.2,,,,,
Warehouses (Sheds),3b,30,382.4,"11,472.0",32.4%,1.50,0.80,1.00,0.75,0.66,0.45,0.40,0.3,,,,,
Sleeping barracks,4c,15,133.8,"2,007.0",5.7%,1.00,0.70,0.60,0.50,0.44,0.35,0.27,0.2,,,,,
Recreational / Club Bldgs,5d,10,300.6,"3,006.0",8.5%,1.00,0.70,0.60,0.50,0.44,0.35,0.27,0.2,,,,,
Offices,6b,11,323.8,"3,561.8",10.1%,1.00,0.70,0.60,0.50,0.44,0.35,0.27,0.2,,,,,
Food Services,7b,2,290.8,581.6,1.6%,1.00,0.70,0.60,0.50,0.44,0.35,0.27,0.2,,,,,
(new)  Storage Bldgs,8b,16,310.0,"4,960.0",14.0%,1.00,0.70,0.60,0.50,0.44,0.35,0.27,0.2,,,,,
Workshops,9b,6,240.1,"1,440.6",4.1%,1.50,0.80,1.00,0.75,0.66,0.45,0.40,0.3,,,,,
Medical Facilities,10b,1,278.7,278.7,0.8%,1.00,0.70,0.60,0.50,0.44,0.35,0.27,0.2,,,,,
Retail Bldgs (+ Retail/Office),11b,1,407.0,407.0,1.1%,1.00,0.70,0.60,0.50,0.44,0.35,0.27,0.2,,,,,
Communications & Control,13c,6,260.6,"1,563.6",4.4%,1.00,0.70,0.60,0.50,0.44,0.35,0.27,0.2,,,,,
Misc. Bldgs < 100m2,15,162,24.3,"3,936.6",11.1%,1.0 (0.70),0.70,0.60,0.50,0.44 (0.35),0.35,0.27,0.2,,,,,
,,,,"35,396.5",100.0%,,,,,,,,,,,,,
Percentage of total building area represented by Part 9,,,,10.5%,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,104.0,,"31,459.9",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Part 3 Building Types,,,,,,Infiltration @ 5 pascals (normal),,,,,,,,,,,,
Bldg Type,Type,No. Bldgs,Ave. Floor Area (m2),Total Area (m2),% Total Floor Area,pre-1960,,1960-1979,,1980-2004,,post-2004,,,,,,
,,,,,,ACH (L/sec/m2),,ACH (L/sec/m2),,ACH (L/sec/m2),,ACH (L/sec/m2),,,,,,
