baseline_index,building_type,vintage_name,measure_id,library_file,default_construction_set_name,ext_wall_rsi,ext_floor_rsi,ext_roof_rsi,ground_floor_rsi,ground_wall_rsi,ground_roof_rsi,fixed_window_rsi,operable_window_rsi,door_construction_rsi,glass_door_rsi,overhead_door_rsi,cost_per_building
9,Maintenance Shop,1980-2004,envelope_ecm_windows,resources/btap_construction_library.osm,DND-Concrete,3.170,4.227,4.227,1.761,1.761,1.760,0.450,0.450,0.704,0.317,1.761,74884.000
10,Maintenance Shop-Small,1959-pre,envelope_ecm_roof,resources/btap_construction_library.osm,DND-Concrete,0.881,2.113,5.083,1.761,1.761,1.761,0.282,0.282,0.704,0.282,1.761,108148.000
10,Maintenance Shop-Small,1959-pre,envelope_ecm_wall,resources/btap_construction_library.osm,DND-Concrete,2.881,2.113,2.113,1.761,1.761,1.761,0.282,0.282,0.704,0.282,1.761,264909.000
10,Maintenance Shop-Small,1959-pre,envelope_ecm_windows,resources/btap_construction_library.osm,DND-Concrete,0.881,2.113,2.113,1.761,1.761,1.761,0.450,0.450,0.704,0.282,1.761,6887.000
11,Maintenance Shop-Small,1960-1979,envelope_ecm_roof,resources/btap_construction_library.osm,DND-Concrete,1.761,1.409,4.049,1.057,1.057,1.057,0.282,0.282,0.528,0.282,1.409,158367.000
11,Maintenance Shop-Small,1960-1979,envelope_ecm_wall,resources/btap_construction_library.osm,DND-Concrete,3.761,1.409,1.409,1.057,1.057,1.057,0.282,0.282,0.528,0.282,1.409,264909.000
11,Maintenance Shop-Small,1960-1979,envelope_ecm_windows,resources/btap_construction_library.osm,DND-Concrete,1.761,1.409,1.409,1.057,1.057,1.057,0.450,0.450,0.528,0.282,1.409,6887.000
12,Maintenance Shop-Small,1980-2004,envelope_ecm_roof,resources/btap_construction_library.osm,DND-Concrete,3.170,4.227,6.867,1.761,1.761,1.761,0.317,0.317,0.704,0.317,1.761,137338.000
12,Maintenance Shop-Small,1980-2004,envelope_ecm_wall,resources/btap_construction_library.osm,DND-Concrete,4.170,4.227,4.227,1.761,1.761,1.761,0.317,0.317,0.704,0.317,1.761,264909.000
12,Maintenance Shop-Small,1980-2004,envelope_ecm_windows,resources/btap_construction_library.osm,DND-Concrete,3.170,4.227,4.227,1.761,1.761,1.761,0.450,0.450,0.704,0.317,1.761,6887.000
13,Office,1959-pre,envelope_ecm_roof,resources/btap_construction_library.osm,DND-Concrete,1.761,2.818,5.458,1.761,1.761,1.761,0.282,0.282,0.704,0.282,1.761,929286.000
13,Office,1959-pre,envelope_ecm_wall,resources/btap_construction_library.osm,DND-Concrete,3.761,2.818,2.818,1.761,1.761,1.761,0.282,0.282,0.704,0.282,1.761,397004.000
13,Office,1959-pre,envelope_ecm_windows,resources/btap_construction_library.osm,DND-Concrete,1.761,2.818,2.818,1.761,1.761,1.761,0.450,0.450,0.704,0.282,1.761,3124765.000
14,Office,1960-1979,envelope_ecm_roof,resources/btap_construction_library.osm,DND-Concrete,1.761,1.409,4.049,1.057,1.057,1.057,0.282,0.282,0.528,0.282,1.409,854741.000
14,Office,1960-1979,envelope_ecm_wall,resources/btap_construction_library.osm,DND-Concrete,3.761,1.409,1.409,1.057,1.057,1.057,0.282,0.282,0.528,0.282,1.409,397004.000
14,Office,1960-1979,envelope_ecm_windows,resources/btap_construction_library.osm,DND-Concrete,1.761,1.409,1.409,1.057,1.057,1.057,0.450,0.450,0.528,0.282,1.409,3124765.000
15,Office,1980-2004,envelope_ecm_roof,resources/btap_construction_library.osm,DND-Concrete,3.522,3.170,5.810,1.761,1.761,1.761,0.317,0.317,0.704,0.317,1.761,854741.000
15,Office,1980-2004,envelope_ecm_wall,resources/btap_construction_library.osm,DND-Concrete,5.522,3.170,3.170,1.761,1.761,1.761,0.317,0.317,0.704,0.317,1.761,397004.000
15,Office,1980-2004,envelope_ecm_windows,resources/btap_construction_library.osm,DND-Concrete,3.522,3.170,3.170,1.761,1.761,1.761,0.450,0.450,0.704,0.317,1.761,3124765.000
16,Office-Small,1960-1979,envelope_ecm_roof,resources/btap_construction_library.osm,DND-Concrete,1.761,1.409,4.049,1.057,1.057,1.057,0.282,0.282,0.528,0.282,1.409,156449.000
16,Office-Small,1960-1979,envelope_ecm_wall,resources/btap_construction_library.osm,DND-Concrete,3.761,1.409,1.409,1.057,1.057,1.057,0.282,0.282,0.528,0.282,1.409,130284.000
16,Office-Small,1960-1979,envelope_ecm_windows,resources/btap_construction_library.osm,DND-Concrete,1.761,1.409,1.409,1.057,1.057,1.057,0.450,0.450,0.528,0.282,1.409,48750.000
17,Office-Small,1980-2004,envelope_ecm_roof,resources/btap_construction_library.osm,DND-Concrete,3.522,3.170,5.810,1.761,1.761,1.761,0.317,0.317,0.704,0.317,1.761,156449.000
17,Office-Small,1980-2004,envelope_ecm_wall,resources/btap_construction_library.osm,DND-Concrete,5.522,3.170,3.170,1.761,1.761,1.761,0.317,0.317,0.704,0.317,1.761,130284.000
17,Office-Small,1980-2004,envelope_ecm_windows,resources/btap_construction_library.osm,DND-Concrete,3.522,3.170,3.170,1.761,1.761,1.761,0.450,0.450,0.704,0.317,1.761,48750.000
18,Office-Small,2005-2014,envelope_ecm_roof,resources/btap_construction_library.osm,DND-Concrete,5.284,4.579,7.219,1.761,1.761,1.761,0.317,0.317,0.704,0.317,1.761,0.000
18,Office-Small,2005-2014,envelope_ecm_wall,resources/btap_construction_library.osm,DND-Concrete,7.284,4.579,4.579,1.761,1.761,1.761,0.317,0.317,0.704,0.317,1.761,0.000
18,Office-Small,2005-2014,envelope_ecm_windows,resources/btap_construction_library.osm,DND-Concrete,5.284,4.579,4.579,1.761,1.761,1.761,0.450,0.450,0.704,0.317,1.761,48750.000
19,Recreation Center,1980-2004,envelope_ecm_roof,resources/btap_construction_library.osm,DND-Concrete,2.740,2.770,5.410,1.761,1.761,1.761,0.317,0.317,0.704,0.317,1.761,1484899.000
19,Recreation Center,1980-2004,envelope_ecm_wall,resources/btap_construction_library.osm,DND-Concrete,4.740,2.770,2.770,1.761,1.761,1.761,0.317,0.317,0.704,0.317,1.761,1363343.000
19,Recreation Center,1980-2004,envelope_ecm_windows,resources/btap_construction_library.osm,DND-Concrete,2.740,2.770,2.770,1.761,1.761,1.761,0.450,0.450,0.704,0.317,1.761,243369.000
20,Storage Building,1959-pre,envelope_ecm_roof,resources/btap_construction_library.osm,DND-Concrete,0.881,3.522,6.162,1.761,1.761,1.761,0.282,0.282,0.704,0.282,1.761,288135.000
20,Storage Building,1959-pre,envelope_ecm_wall,resources/btap_construction_library.osm,DND-Concrete,2.881,3.522,3.522,1.761,1.761,1.761,0.282,0.282,0.704,0.282,1.761,160914.000
20,Storage Building,1959-pre,envelope_ecm_windows,resources/btap_construction_library.osm,DND-Concrete,0.881,3.522,3.522,1.761,1.761,1.761,0.450,0.450,0.704,0.282,1.761,0.000
21,Storage Building,1960-1979,envelope_ecm_roof,resources/btap_construction_library.osm,DND-Concrete,1.937,1.585,4.225,1.233,1.233,1.233,0.282,0.282,0.704,0.282,1.585,188777.000
21,Storage Building,1960-1979,envelope_ecm_wall,resources/btap_construction_library.osm,DND-Concrete,3.937,1.585,1.585,1.233,1.233,1.233,0.282,0.282,0.704,0.282,1.585,160914.000
21,Storage Building,1960-1979,envelope_ecm_windows,resources/btap_construction_library.osm,DND-Concrete,1.937,1.585,1.585,1.233,1.233,1.233,0.450,0.450,0.704,0.282,1.585,0.000
22,Storage Building,1980-2004,envelope_ecm_roof,resources/btap_construction_library.osm,DND-Concrete,2.642,3.522,6.162,1.761,1.761,1.761,0.317,0.317,0.704,0.317,1.761,163711.000
22,Storage Building,1980-2004,envelope_ecm_wall,resources/btap_construction_library.osm,DND-Concrete,4.642,3.522,3.522,1.761,1.761,1.761,0.317,0.317,0.704,0.317,1.761,160914.000
22,Storage Building,1980-2004,envelope_ecm_windows,resources/btap_construction_library.osm,DND-Concrete,2.642,3.522,3.522,1.761,1.761,1.761,0.450,0.450,0.704,0.317,1.761,0.000
23,Storage Building,2005-2014,envelope_ecm_roof,resources/btap_construction_library.osm,DND-Concrete,5.284,4.579,7.219,1.761,1.761,1.761,0.317,0.317,0.704,0.317,1.761,0.000
23,Storage Building,2005-2014,envelope_ecm_wall,resources/btap_construction_library.osm,DND-Concrete,7.284,4.579,4.579,1.761,1.761,1.761,0.317,0.317,0.704,0.317,1.761,0.000
23,Storage Building,2005-2014,envelope_ecm_windows,resources/btap_construction_library.osm,DND-Concrete,5.284,4.579,4.579,1.761,1.761,1.761,0.450,0.450,0.704,0.317,1.761,0.000
24,Training Building,1959-pre,envelope_ecm_roof,resources/btap_construction_library.osm,DND-Concrete,1.761,2.113,4.753,1.761,1.761,1.761,0.282,0.282,0.704,0.282,1.761,523108.000
24,Training Building,1959-pre,envelope_ecm_wall,resources/btap_construction_library.osm,DND-Concrete,3.761,2.113,2.113,1.761,1.761,1.761,0.282,0.282,0.704,0.282,1.761,455483.000
24,Training Building,1959-pre,envelope_ecm_windows,resources/btap_construction_library.osm,DND-Concrete,1.761,2.113,2.113,1.761,1.761,1.761,0.450,0.450,0.704,0.282,1.761,165362.000
25,Training Building,1980-2004,envelope_ecm_roof,resources/btap_construction_library.osm,DND-Concrete,3.522,3.170,5.810,1.761,1.761,1.761,0.317,0.317,0.704,0.317,1.761,523108.000
25,Training Building,1980-2004,envelope_ecm_wall,resources/btap_construction_library.osm,DND-Concrete,5.522,3.170,3.170,1.761,1.761,1.761,0.317,0.317,0.704,0.317,1.761,455483.000
25,Training Building,1980-2004,envelope_ecm_windows,resources/btap_construction_library.osm,DND-Concrete,3.522,3.170,3.170,1.761,1.761,1.761,0.450,0.450,0.704,0.317,1.761,165362.000
26,Training Building,2005-2014,envelope_ecm_roof,resources/btap_construction_library.osm,DND-Concrete,5.284,4.579,7.219,1.761,1.761,1.761,0.317,0.317,0.704,0.317,1.761,0.000
26,Training Building,2005-2014,envelope_ecm_wall,resources/btap_construction_library.osm,DND-Concrete,7.284,4.579,4.579,1.761,1.761,1.761,0.317,0.317,0.704,0.317,1.761,0.000
26,Training Building,2005-2014,envelope_ecm_windows,resources/btap_construction_library.osm,DND-Concrete,5.284,4.579,4.579,1.761,1.761,1.761,0.450,0.450,0.704,0.317,1.761,165362.000
27,Vehicle Garage,1959-pre,envelope_ecm_roof,resources/btap_construction_library.osm,DND-Concrete,1.761,2.113,4.753,1.761,1.761,1.761,0.282,0.282,0.704,0.282,1.761,356996.000
27,Vehicle Garage,1959-pre,envelope_ecm_wall,resources/btap_construction_library.osm,DND-Concrete,3.761,2.113,2.113,1.761,1.761,1.761,0.282,0.282,0.704,0.282,1.761,380269.000
27,Vehicle Garage,1959-pre,envelope_ecm_windows,resources/btap_construction_library.osm,DND-Concrete,1.761,2.113,2.113,1.761,1.761,1.761,0.450,0.450,0.704,0.282,1.761,4464.000
28,Vehicle Garage,1980-2004,envelope_ecm_roof,resources/btap_construction_library.osm,DND-Concrete,2.642,3.170,5.810,1.761,1.761,1.761,0.317,0.317,0.704,0.317,1.761,356996.000
28,Vehicle Garage,1980-2004,envelope_ecm_wall,resources/btap_construction_library.osm,DND-Concrete,4.642,3.170,3.170,1.761,1.761,1.761,0.317,0.317,0.704,0.317,1.761,380269.000
28,Vehicle Garage,1980-2004,envelope_ecm_windows,resources/btap_construction_library.osm,DND-Concrete,2.642,3.170,3.170,1.761,1.761,1.761,0.450,0.450,0.704,0.317,1.761,4464.000
NA,Barracks,1960-1979,envelope_ecm_roof,resources/btap_construction_library.osm,DND-Concrete,3.170,6.516,9.156,1.761,1.761,1.761,0.282,0.282,0.704,0.282,1.761,232280.000
NA,Barracks,1960-1979,envelope_ecm_wall,resources/btap_construction_library.osm,DND-Concrete,5.170,6.516,6.516,1.761,1.761,1.761,0.282,0.282,0.704,0.282,1.761,512843.000
NA,Barracks,1960-1979,envelope_ecm_windows,resources/btap_construction_library.osm,DND-Concrete,3.170,6.516,6.516,1.761,1.761,1.761,0.450,0.450,0.704,0.282,1.761,378182.000
NA,Barracks,1980-2004,envelope_ecm_roof,resources/btap_construction_library.osm,DND-Concrete,3.170,6.516,9.156,1.761,1.761,1.761,0.282,0.282,0.704,0.282,1.761,232280.000
NA,Barracks,1980-2004,envelope_ecm_wall,resources/btap_construction_library.osm,DND-Concrete,5.170,6.516,6.516,1.761,1.761,1.761,0.282,0.282,0.704,0.282,1.761,512843.000
NA,Barracks,1980-2004,envelope_ecm_windows,resources/btap_construction_library.osm,DND-Concrete,3.170,6.516,6.516,1.761,1.761,1.761,0.450,0.450,0.704,0.282,1.761,378182.000
30,Barracks,2005-2014,envelope_ecm_roof,resources/btap_construction_library.osm,DND-Concrete,3.170,6.516,9.156,1.761,1.761,1.761,0.282,0.282,0.704,0.282,1.761,0.000
30,Barracks,2005-2014,envelope_ecm_wall,resources/btap_construction_library.osm,DND-Concrete,5.170,6.516,6.516,1.761,1.761,1.761,0.282,0.282,0.704,0.282,1.761,0.000
30,Barracks,2005-2014,envelope_ecm_windows,resources/btap_construction_library.osm,DND-Concrete,3.170,6.516,6.516,1.761,1.761,1.761,0.450,0.450,0.704,0.282,1.761,378182.000
NA,Fire Hall,1960-1979,envelope_ecm_roof,resources/btap_construction_library.osm,DND-Concrete,3.170,6.516,9.156,1.761,1.761,1.761,0.282,0.282,0.704,0.282,1.761,178944.000
NA,Fire Hall,1960-1979,envelope_ecm_wall,resources/btap_construction_library.osm,DND-Concrete,5.170,6.516,6.516,1.761,1.761,1.761,0.282,0.282,0.704,0.282,1.761,280000.000
NA,Fire Hall,1960-1979,envelope_ecm_windows,resources/btap_construction_library.osm,DND-Concrete,3.170,6.516,6.516,1.761,1.761,1.761,0.450,0.450,0.704,0.282,1.761,61245.000
NA,Fire Hall,1980-2004,envelope_ecm_roof,resources/btap_construction_library.osm,DND-Concrete,3.170,6.516,9.156,1.761,1.761,1.761,0.282,0.282,0.704,0.282,1.761,178944.000
NA,Fire Hall,1980-2004,envelope_ecm_wall,resources/btap_construction_library.osm,DND-Concrete,5.170,6.516,6.516,1.761,1.761,1.761,0.282,0.282,0.704,0.282,1.761,280000.000
NA,Fire Hall,1980-2004,envelope_ecm_windows,resources/btap_construction_library.osm,DND-Concrete,3.170,6.516,6.516,1.761,1.761,1.761,0.450,0.450,0.704,0.282,1.761,61245.000
31,Fire Hall,2005-2014,envelope_ecm_roof,resources/btap_construction_library.osm,DND-Concrete,3.170,6.516,9.156,1.761,1.761,1.761,0.282,0.282,0.704,0.282,1.761,0.000
31,Fire Hall,2005-2014,envelope_ecm_wall,resources/btap_construction_library.osm,DND-Concrete,5.170,6.516,6.516,1.761,1.761,1.761,0.282,0.282,0.704,0.282,1.761,0.000
31,Fire Hall,2005-2014,envelope_ecm_windows,resources/btap_construction_library.osm,DND-Concrete,3.170,6.516,6.516,1.761,1.761,1.761,0.450,0.450,0.704,0.282,1.761,61245.000
NA,Food Service,1960-1979,envelope_ecm_roof,resources/btap_construction_library.osm,DND-Concrete,3.522,4.227,6.867,1.761,1.761,1.761,0.282,0.282,0.704,0.282,1.761,458471.000
NA,Food Service,1960-1979,envelope_ecm_wall,resources/btap_construction_library.osm,DND-Concrete,5.522,4.227,4.227,1.761,1.761,1.761,0.282,0.282,0.704,0.282,1.761,419941.000
NA,Food Service,1960-1979,envelope_ecm_windows,resources/btap_construction_library.osm,DND-Concrete,3.522,4.227,4.227,1.761,1.761,1.761,0.450,0.450,0.704,0.282,1.761,277780.000
NA,Food Service,1980-2004,envelope_ecm_roof,resources/btap_construction_library.osm,DND-Concrete,3.522,4.227,6.867,1.761,1.761,1.761,0.282,0.282,0.704,0.282,1.761,458471.000
NA,Food Service,1980-2004,envelope_ecm_wall,resources/btap_construction_library.osm,DND-Concrete,5.522,4.227,4.227,1.761,1.761,1.761,0.282,0.282,0.704,0.282,1.761,419941.000
NA,Food Service,1980-2004,envelope_ecm_windows,resources/btap_construction_library.osm,DND-Concrete,3.522,4.227,4.227,1.761,1.761,1.761,0.450,0.450,0.704,0.282,1.761,277780.000
29,Hangar,2005-2014,envelope_ecm_roof,resources/btap_construction_library.osm,DND-Concrete,5.284,4.579,7.219,1.761,1.761,1.761,0.317,0.317,0.704,0.317,1.761,0.000
29,Hangar,2005-2014,envelope_ecm_wall,resources/btap_construction_library.osm,DND-Concrete,7.284,4.579,4.579,1.761,1.761,1.761,0.317,0.317,0.704,0.317,1.761,0.000
29,Hangar,2005-2014,envelope_ecm_windows,resources/btap_construction_library.osm,DND-Concrete,5.284,4.579,4.579,1.761,1.761,1.761,0.450,0.450,0.704,0.317,1.761,193168.000
NA,Maintenance Shop,1960-1979,envelope_ecm_roof,resources/btap_construction_library.osm,DND-Concrete,2.113,1.761,6.867,1.761,1.761,1.761,0.317,0.317,0.704,0.317,1.761,265713.000
NA,Maintenance Shop,1960-1979,envelope_ecm_wall,resources/btap_construction_library.osm,DND-Concrete,4.113,1.761,4.227,1.761,1.761,1.761,0.317,0.317,0.704,0.317,1.761,515871.000
NA,Maintenance Shop,1960-1979,envelope_ecm_windows,resources/btap_construction_library.osm,DND-Concrete,2.113,1.761,4.227,1.761,1.761,1.761,0.450,0.450,0.704,0.317,1.761,74884.000
NA,Maintenance Shop,2005-2014,envelope_ecm_roof,resources/btap_construction_library.osm,DND-Concrete,5.284,4.579,7.219,1.761,1.761,1.761,0.317,0.317,0.704,0.317,1.761,0.000
NA,Maintenance Shop,2005-2014,envelope_ecm_wall,resources/btap_construction_library.osm,DND-Concrete,7.284,4.579,4.579,1.761,1.761,1.761,0.317,0.317,0.704,0.317,1.761,0.000
NA,Maintenance Shop,2005-2014,envelope_ecm_windows,resources/btap_construction_library.osm,DND-Concrete,5.284,4.579,4.579,1.761,1.761,1.761,0.450,0.450,0.704,0.317,1.761,74884.000
NA,Maintenance Shop-Small,2005-2014,envelope_ecm_roof,resources/btap_construction_library.osm,DND-Concrete,5.284,4.579,7.219,1.761,1.761,1.761,0.317,0.317,0.704,0.317,1.761,0.000
NA,Maintenance Shop-Small,2005-2014,envelope_ecm_wall,resources/btap_construction_library.osm,DND-Concrete,7.284,4.579,4.579,1.761,1.761,1.761,0.317,0.317,0.704,0.317,1.761,0.000
NA,Maintenance Shop-Small,2005-2014,envelope_ecm_windows,resources/btap_construction_library.osm,DND-Concrete,5.284,4.579,4.579,1.761,1.761,1.761,0.450,0.450,0.704,0.317,1.761,6887.000
NA,Office,2005-2014,envelope_ecm_roof,resources/btap_construction_library.osm,DND-Concrete,5.284,4.579,7.219,1.761,1.761,1.761,0.317,0.317,0.704,0.317,1.761,0.000
NA,Office,2005-2014,envelope_ecm_wall,resources/btap_construction_library.osm,DND-Concrete,7.284,4.579,4.579,1.761,1.761,1.761,0.317,0.317,0.704,0.317,1.761,0.000
NA,Office,2005-2014,envelope_ecm_windows,resources/btap_construction_library.osm,DND-Concrete,5.284,4.579,4.579,1.761,1.761,1.761,0.450,0.450,0.704,0.317,1.761,3124765.000
NA,Office-Small,1959-pre,envelope_ecm_roof,resources/btap_construction_library.osm,DND-Concrete,1.761,1.409,4.049,1.057,1.057,1.057,0.282,0.282,0.528,0.282,1.409,156449.000
NA,Office-Small,1959-pre,envelope_ecm_wall,resources/btap_construction_library.osm,DND-Concrete,3.761,1.409,1.409,1.057,1.057,1.057,0.282,0.282,0.528,0.282,1.409,130284.000
NA,Office-Small,1959-pre,envelope_ecm_windows,resources/btap_construction_library.osm,DND-Concrete,1.761,1.409,1.409,1.057,1.057,1.057,0.450,0.450,0.528,0.282,1.409,48750.000
NA,Recreation Center,1959-pre,envelope_ecm_roof,resources/btap_construction_library.osm,DND-Concrete,2.740,2.770,5.410,1.761,1.761,1.761,0.317,0.317,0.704,0.317,1.761,1484899.000
NA,Recreation Center,1959-pre,envelope_ecm_wall,resources/btap_construction_library.osm,DND-Concrete,4.740,2.770,2.770,1.761,1.761,1.761,0.317,0.317,0.704,0.317,1.761,1363343.000
NA,Recreation Center,1959-pre,envelope_ecm_windows,resources/btap_construction_library.osm,DND-Concrete,2.740,2.770,2.770,1.761,1.761,1.761,0.450,0.450,0.704,0.317,1.761,243369.000
NA,Recreation Center,1960-1979,envelope_ecm_roof,resources/btap_construction_library.osm,DND-Concrete,2.740,2.770,5.410,1.761,1.761,1.761,0.317,0.317,0.704,0.317,1.761,1484899.000
NA,Recreation Center,1960-1979,envelope_ecm_wall,resources/btap_construction_library.osm,DND-Concrete,4.740,2.770,2.770,1.761,1.761,1.761,0.317,0.317,0.704,0.317,1.761,1363343.000
NA,Recreation Center,1960-1979,envelope_ecm_windows,resources/btap_construction_library.osm,DND-Concrete,2.740,2.770,2.770,1.761,1.761,1.761,0.450,0.450,0.704,0.317,1.761,243369.000
NA,Recreation Center,2005-2014,envelope_ecm_roof,resources/btap_construction_library.osm,DND-Concrete,2.740,2.770,5.410,1.761,1.761,1.761,0.317,0.317,0.704,0.317,1.761,0.000
NA,Recreation Center,2005-2014,envelope_ecm_wall,resources/btap_construction_library.osm,DND-Concrete,4.740,2.770,2.770,1.761,1.761,1.761,0.317,0.317,0.704,0.317,1.761,0.000
NA,Recreation Center,2005-2014,envelope_ecm_windows,resources/btap_construction_library.osm,DND-Concrete,2.740,2.770,2.770,1.761,1.761,1.761,0.450,0.450,0.704,0.317,1.761,243369.000
NA,Training Building,1960-1979,envelope_ecm_roof,resources/btap_construction_library.osm,DND-Concrete,1.761,2.113,4.753,1.761,1.761,1.761,0.282,0.282,0.704,0.282,1.761,523108.000
NA,Training Building,1960-1979,envelope_ecm_wall,resources/btap_construction_library.osm,DND-Concrete,3.761,2.113,2.113,1.761,1.761,1.761,0.282,0.282,0.704,0.282,1.761,455483.000
NA,Training Building,1960-1979,envelope_ecm_windows,resources/btap_construction_library.osm,DND-Concrete,1.761,2.113,2.113,1.761,1.761,1.761,0.450,0.450,0.704,0.282,1.761,165362.000
NA,Vehicle Garage,1960-1979,envelope_ecm_roof,resources/btap_construction_library.osm,DND-Concrete,1.761,2.113,4.753,1.761,1.761,1.761,0.282,0.282,0.704,0.282,1.761,356996.000
NA,Vehicle Garage,1960-1979,envelope_ecm_wall,resources/btap_construction_library.osm,DND-Concrete,3.761,2.113,2.113,1.761,1.761,1.761,0.282,0.282,0.704,0.282,1.761,380269.000
NA,Vehicle Garage,1960-1979,envelope_ecm_windows,resources/btap_construction_library.osm,DND-Concrete,1.761,2.113,2.113,1.761,1.761,1.761,0.450,0.450,0.704,0.282,1.761,4464.000
